2m,4m,6m,mm (onlyライブたたき=>1エレガントのセット)
5,3,0,3,53046
4,2,4,1,53064
3,5,1,2,53070
2,4,5,0,53088
1,7,2,1,53094
2,0,2,8,53100
0,2,3,7,53124
7,0,1,3,53130
5,2,2,2,53154
4,1,6,0,53172
3,4,3,1,53178
2,7,0,2,53184
3,0,0,9,53190
1,6,4,0,53202
0,9,1,1,53208
1,2,1,8,53214
0,1,5,6,53232
6,2,0,3,53244
5,1,4,1,53262
4,4,1,2,53268
3,3,5,0,53286
2,6,2,1,53292
0,8,3,0,53316
1,1,3,7,53322
0,4,0,8,53328
0,0,7,5,53340
6,1,2,2,53352
5,0,6,0,53370
4,3,3,1,53376
3,6,0,2,53382
2,5,4,0,53400
1,8,1,1,53406
2,1,1,8,53412
1,0,5,6,53430
0,3,2,7,53436
7,1,0,3,53442
6,0,4,1,53460
5,3,1,2,53466
4,2,5,0,53484
3,5,2,1,53490
1,7,3,0,53514
2,0,3,7,53520
1,3,0,8,53526
0,2,4,6,53544
7,0,2,2,53550
5,2,3,1,53574
4,5,0,2,53580
3,4,4,0,53598
2,7,1,1,53604
3,0,1,8,53610
0,9,2,0,53628
1,2,2,7,53634
8,0,0,3,53640
0,1,6,5,53652
6,2,1,2,53664
5,1,5,0,53682
4,4,2,1,53688
2,6,3,0,53712
1,9,0,1,53718
2,2,0,8,53724
1,1,4,6,53742
0,4,1,7,53748
0,0,8,4,53760
6,1,3,1,53772
5,4,0,2,53778
4,3,4,0,53796
3,6,1,1,53802
1,8,2,0,53826
2,1,2,7,53832
1,0,6,5,53850
0,3,3,6,53856
7,1,1,2,53862
6,0,5,0,53880
5,3,2,1,53886
3,5,3,0,53910
2,8,0,1,53916
3,1,0,8,53922
2,0,4,6,53940
1,3,1,7,53946
0,2,5,5,53964
7,0,3,1,53970
6,3,0,2,53976
5,2,4,0,53994
4,5,1,1,54000
2,7,2,0,54024
3,0,2,7,54030
1,2,3,6,54054
0,5,0,7,54060
8,0,1,2,54060
0,1,7,4,54072
6,2,2,1,54084
4,4,3,0,54108
3,7,0,1,54114
4,0,0,8,54120
1,9,1,0,54138
2,2,1,7,54144
1,1,5,5,54162
0,4,2,6,54168
7,2,0,2,54174
0,0,9,3,54180
6,1,4,0,54192
5,4,1,1,54198
3,6,2,0,54222
2,1,3,6,54252
1,4,0,7,54258
1,0,7,4,54270
0,3,4,5,54276
7,1,2,1,54282
5,3,3,0,54306
4,6,0,1,54312
2,8,1,0,54336
3,1,1,7,54342
2,0,5,5,54360
1,3,2,6,54366
8,1,0,2,54372
0,2,6,4,54384
7,0,4,0,54390
6,3,1,1,54396
4,5,2,0,54420
3,0,3,6,54450
2,3,0,7,54456
1,2,4,5,54474
0,5,1,6,54480
8,0,2,1,54480
0,1,8,3,54492
6,2,3,0,54504
5,5,0,1,54510
3,7,1,0,54534
4,0,1,7,54540
2,2,2,6,54564
9,0,0,2,54570
1,1,6,4,54582
0,4,3,5,54588
7,2,1,1,54594
5,4,2,0,54618
2,9,0,0,54648
3,2,0,7,54654
2,1,4,5,54672
1,4,1,6,54678
1,0,8,3,54690
0,3,5,4,54696
7,1,3,0,54702
6,4,0,1,54708
4,6,1,0,54732
3,1,2,6,54762
2,0,6,4,54780
1,3,3,5,54786
0,6,0,6,54792
8,1,1,1,54792
0,2,7,3,54804
6,3,2,0,54816
3,8,0,0,54846
4,1,0,7,54852
3,0,4,5,54870
2,3,1,6,54876
1,2,5,4,54894
0,5,2,5,54900
8,0,3,0,54900
7,3,0,1,54906
0,1,9,2,54912
5,5,1,0,54930
4,0,2,6,54960
2,2,3,5,54984
1,5,0,6,54990
9,0,1,1,54990
1,1,7,3,55002
0,4,4,4,55008
7,2,2,0,55014
4,7,0,0,55044
5,0,0,7,55050
3,2,1,6,55074
2,1,5,4,55092
1,4,2,5,55098
8,2,0,1,55104
1,0,9,2,55110
0,3,6,3,55116
6,4,1,0,55128
3,1,3,5,55182
2,4,0,6,55188
2,0,7,3,55200
1,3,4,4,55206
0,6,1,5,55212
8,1,2,0,55212
0,2,8,2,55224
5,6,0,0,55242
4,1,1,6,55272
3,0,5,4,55290
2,3,2,5,55296
9,1,0,1,55302
1,2,6,3,55314
0,5,3,4,55320
7,3,1,0,55326
4,0,3,5,55380
3,3,0,6,55386
2,2,4,4,55404
1,5,1,5,55410
9,0,2,0,55410
1,1,8,2,55422
0,4,5,3,55428
6,5,0,0,55440
5,0,1,6,55470
3,2,2,5,55494
2,1,6,3,55512
1,4,3,4,55518
0,7,0,5,55524
8,2,1,0,55524
0,3,7,2,55536
4,2,0,6,55584
3,1,4,4,55602
2,4,1,5,55608
2,0,8,2,55620
1,3,5,3,55626
0,6,2,4,55632
7,4,0,0,55638
0,2,9,1,55644
4,1,2,5,55692
3,0,6,3,55710
2,3,3,4,55716
1,6,0,5,55722
9,1,1,0,55722
1,2,7,2,55734
0,5,4,3,55740
5,1,0,6,55782
4,0,4,4,55800
3,3,1,5,55806
2,2,5,3,55824
1,5,2,4,55830
8,3,0,0,55836
1,1,9,1,55842
0,4,6,2,55848
0,0,3,10,55860
5,0,2,5,55890
3,2,3,4,55914
2,5,0,5,55920
2,1,7,2,55932
1,4,4,3,55938
0,7,1,4,55944
0,3,8,1,55956
6,0,0,6,55980
4,2,1,5,56004
3,1,5,3,56022
2,4,2,4,56028
9,2,0,0,56034
2,0,9,1,56040
1,3,6,2,56046
0,6,3,3,56052
4,1,3,4,56112
3,4,0,5,56118
3,0,7,2,56130
2,3,4,3,56136
1,6,1,4,56142
1,2,8,1,56154
0,5,5,2,56160
0,1,2,10,56172
5,1,1,5,56202
4,0,5,3,56220
3,3,2,4,56226
2,2,6,2,56244
1,5,3,3,56250
0,8,0,4,56256
0,4,7,1,56268
0,0,4,9,56280
5,0,3,4,56310
4,3,0,5,56316
3,2,4,3,56334
2,5,1,4,56340
2,1,8,1,56352
1,4,5,2,56358
0,7,2,3,56364
1,0,2,10,56370
0,3,9,0,56376
6,0,1,5,56400
4,2,2,4,56424
3,1,6,2,56442
2,4,3,3,56448
1,7,0,4,56454
1,3,7,1,56466
0,6,4,2,56472
0,2,1,10,56484
5,2,0,5,56514
4,1,4,3,56532
3,4,1,4,56538
3,0,8,1,56550
2,3,5,2,56556
1,6,2,3,56562
1,2,9,0,56574
0,5,6,1,56580
0,1,3,9,56592
5,1,2,4,56622
4,0,6,2,56640
3,3,3,3,56646
2,6,0,4,56652
2,2,7,1,56664
1,5,4,2,56670
0,8,1,3,56676
1,1,1,10,56682
0,4,8,0,56688
0,0,5,8,56700
6,1,0,5,56712
5,0,4,3,56730
4,3,1,4,56736
3,2,5,2,56754
2,5,2,3,56760
2,1,9,0,56772
1,4,6,1,56778
0,7,3,2,56784
1,0,3,9,56790
0,3,0,10,56796
6,0,2,4,56820
4,2,3,3,56844
3,5,0,4,56850
3,1,7,1,56862
2,4,4,2,56868
1,7,1,3,56874
2,0,1,10,56880
1,3,8,0,56886
0,6,5,1,56892
0,2,2,9,56904
7,0,0,5,56910
5,2,1,4,56934
4,1,5,2,56952
3,4,2,3,56958
3,0,9,0,56970
2,3,6,1,56976
1,6,3,2,56982
0,9,0,3,56988
1,2,0,10,56994
0,5,7,0,57000
0,1,4,8,57012
5,1,3,3,57042
4,4,0,4,57048
4,0,7,1,57060
3,3,4,2,57066
2,6,1,3,57072
2,2,8,0,57084
1,5,5,1,57090
0,8,2,2,57096
1,1,2,9,57102
0,0,6,7,57120
6,1,1,4,57132
5,0,5,2,57150
4,3,2,3,57156
3,2,6,1,57174
2,5,3,2,57180
1,8,0,3,57186
2,1,0,10,57192
1,4,7,0,57198
0,7,4,1,57204
1,0,4,8,57210
0,3,1,9,57216
6,0,3,3,57240
5,3,0,4,57246
4,2,4,2,57264
3,5,1,3,57270
3,1,8,0,57282
2,4,5,1,57288
1,7,2,2,57294
2,0,2,9,57300
0,6,6,0,57312
0,2,3,8,57324
7,0,1,4,57330
5,2,2,3,57354
4,1,6,1,57372
3,4,3,2,57378
2,7,0,3,57384
3,0,0,10,57390
2,3,7,0,57396
1,6,4,1,57402
0,9,1,2,57408
1,2,1,9,57414
0,1,5,7,57432
6,2,0,4,57444
5,1,4,2,57462
4,4,1,3,57468
4,0,8,0,57480
3,3,5,1,57486
2,6,2,2,57492
1,5,6,0,57510
0,8,3,1,57516
1,1,3,8,57522
0,4,0,9,57528
0,0,7,6,57540
6,1,2,3,57552
5,0,6,1,57570
4,3,3,2,57576
3,6,0,3,57582
3,2,7,0,57594
2,5,4,1,57600
1,8,1,2,57606
2,1,1,9,57612
0,7,5,0,57624
1,0,5,7,57630
0,3,2,8,57636
7,1,0,4,57642
6,0,4,2,57660
5,3,1,3,57666
4,2,5,1,57684
3,5,2,2,57690
2,4,6,0,57708
1,7,3,1,57714
2,0,3,8,57720
1,3,0,9,57726
0,2,4,7,57744
7,0,2,3,57750
5,2,3,2,57774
4,5,0,3,57780
4,1,7,0,57792
3,4,4,1,57798
2,7,1,2,57804
3,0,1,9,57810
1,6,5,0,57822
0,9,2,1,57828
1,2,2,8,57834
8,0,0,4,57840
0,1,6,6,57852
6,2,1,3,57864
5,1,5,1,57882
4,4,2,2,57888
3,3,6,0,57906
2,6,3,1,57912
1,9,0,2,57918
2,2,0,9,57924
0,8,4,0,57936
1,1,4,7,57942
0,4,1,8,57948
0,0,8,5,57960
6,1,3,2,57972
5,4,0,3,57978
5,0,7,0,57990
4,3,4,1,57996
3,6,1,2,58002
2,5,5,0,58020
1,8,2,1,58026
2,1,2,8,58032
1,0,6,6,58050
0,3,3,7,58056
7,1,1,3,58062
6,0,5,1,58080
5,3,2,2,58086
4,2,6,0,58104
3,5,3,1,58110
2,8,0,2,58116
3,1,0,9,58122
1,7,4,0,58134
2,0,4,7,58140
1,3,1,8,58146
0,2,5,6,58164
7,0,3,2,58170
6,3,0,3,58176
5,2,4,1,58194
4,5,1,2,58200
3,4,5,0,58218
2,7,2,1,58224
3,0,2,8,58230
0,9,3,0,58248
1,2,3,7,58254
0,5,0,8,58260
8,0,1,3,58260
0,1,7,5,58272
6,2,2,2,58284
5,1,6,0,58302
4,4,3,1,58308
3,7,0,2,58314
4,0,0,9,58320
2,6,4,0,58332
1,9,1,1,58338
2,2,1,8,58344
1,1,5,6,58362
0,4,2,7,58368
7,2,0,3,58374
0,0,9,4,58380
6,1,4,1,58392
5,4,1,2,58398
4,3,5,0,58416
3,6,2,1,58422
1,8,3,0,58446
2,1,3,7,58452
1,4,0,8,58458
1,0,7,5,58470
0,3,4,6,58476
7,1,2,2,58482
6,0,6,0,58500
5,3,3,1,58506
4,6,0,2,58512
3,5,4,0,58530
2,8,1,1,58536
3,1,1,8,58542
2,0,5,6,58560
1,3,2,7,58566
8,1,0,3,58572
0,2,6,5,58584
7,0,4,1,58590
6,3,1,2,58596
5,2,5,0,58614
4,5,2,1,58620
2,7,3,0,58644
3,0,3,7,58650
2,3,0,8,58656
1,2,4,6,58674
0,5,1,7,58680
8,0,2,2,58680
0,1,8,4,58692
6,2,3,1,58704
5,5,0,2,58710
4,4,4,0,58728
3,7,1,1,58734
4,0,1,8,58740
1,9,2,0,58758
2,2,2,7,58764
9,0,0,3,58770
1,1,6,5,58782
0,4,3,6,58788
7,2,1,2,58794
6,1,5,0,58812
5,4,2,1,58818
3,6,3,0,58842
2,9,0,1,58848
3,2,0,8,58854
2,1,4,6,58872
1,4,1,7,58878
1,0,8,4,58890
0,3,5,5,58896
7,1,3,1,58902
6,4,0,2,58908
5,3,4,0,58926
4,6,1,1,58932
2,8,2,0,58956
3,1,2,7,58962
2,0,6,5,58980
1,3,3,6,58986
0,6,0,7,58992
8,1,1,2,58992
0,2,7,4,59004
7,0,5,0,59010
6,3,2,1,59016
4,5,3,0,59040
3,8,0,1,59046
4,1,0,8,59052
3,0,4,6,59070
2,3,1,7,59076
1,2,5,5,59094
0,5,2,6,59100
8,0,3,1,59100
7,3,0,2,59106
0,1,9,3,59112
6,2,4,0,59124
5,5,1,1,59130
3,7,2,0,59154
4,0,2,7,59160
2,2,3,6,59184
1,5,0,7,59190
9,0,1,2,59190
1,1,7,4,59202
0,4,4,5,59208
7,2,2,1,59214
5,4,3,0,59238
4,7,0,1,59244
5,0,0,8,59250
2,9,1,0,59268
3,2,1,7,59274
2,1,5,5,59292
1,4,2,6,59298
8,2,0,2,59304
1,0,9,3,59310
0,3,6,4,59316
7,1,4,0,59322
6,4,1,1,59328
4,6,2,0,59352
3,1,3,6,59382
2,4,0,7,59388
2,0,7,4,59400
1,3,4,5,59406
0,6,1,6,59412
8,1,2,1,59412
0,2,8,3,59424
6,3,3,0,59436
5,6,0,1,59442
3,8,1,0,59466
4,1,1,7,59472
3,0,5,5,59490
2,3,2,6,59496
9,1,0,2,59502
1,2,6,4,59514
0,5,3,5,59520
8,0,4,0,59520
7,3,1,1,59526
5,5,2,0,59550
4,0,3,6,59580
3,3,0,7,59586
2,2,4,5,59604
1,5,1,6,59610
9,0,2,1,59610
1,1,8,3,59622
0,4,5,4,59628
7,2,3,0,59634
6,5,0,1,59640
4,7,1,0,59664
5,0,1,7,59670
3,2,2,6,59694
2,1,6,4,59712
1,4,3,5,59718
0,7,0,6,59724
8,2,1,1,59724
0,3,7,3,59736
6,4,2,0,59748
3,9,0,0,59778
4,2,0,7,59784
3,1,4,5,59802
2,4,1,6,59808
2,0,8,3,59820
1,3,5,4,59826
0,6,2,5,59832
8,1,3,0,59832
7,4,0,1,59838
0,2,9,2,59844
5,6,1,0,59862
4,1,2,6,59892
3,0,6,4,59910
2,3,3,5,59916
1,6,0,6,59922
9,1,1,1,59922
1,2,7,3,59934
0,5,4,4,59940
7,3,2,0,59946
4,8,0,0,59976
5,1,0,7,59982
4,0,4,5,60000
3,3,1,6,60006
2,2,5,4,60024
1,5,2,5,60030
9,0,3,0,60030
8,3,0,1,60036
1,1,9,2,60042
0,4,6,3,60048
6,5,1,0,60060
5,0,2,6,60090
3,2,3,5,60114
2,5,0,6,60120
2,1,7,3,60132
1,4,4,4,60138
0,7,1,5,60144
8,2,2,0,60144
0,3,8,2,60156
5,7,0,0,60174
6,0,0,7,60180
4,2,1,6,60204
3,1,5,4,60222
2,4,2,5,60228
9,2,0,1,60234
2,0,9,2,60240
1,3,6,3,60246
0,6,3,4,60252
7,4,1,0,60258
4,1,3,5,60312
3,4,0,6,60318
3,0,7,3,60330
2,3,4,4,60336
1,6,1,5,60342
9,1,2,0,60342
1,2,8,2,60354
0,5,5,3,60360
6,6,0,0,60372
5,1,1,6,60402
4,0,5,4,60420
3,3,2,5,60426
2,2,6,3,60444
1,5,3,4,60450
0,8,0,5,60456
8,3,1,0,60456
0,4,7,2,60468
0,0,4,10,60480
5,0,3,5,60510
4,3,0,6,60516
3,2,4,4,60534
2,5,1,5,60540
2,1,8,2,60552
1,4,5,3,60558
0,7,2,4,60564
7,5,0,0,60570
0,3,9,1,60576
6,0,1,6,60600
4,2,2,5,60624
3,1,6,3,60642
2,4,3,4,60648
1,7,0,5,60654
9,2,1,0,60654
1,3,7,2,60666
0,6,4,3,60672
5,2,0,6,60714
4,1,4,4,60732
3,4,1,5,60738
3,0,8,2,60750
2,3,5,3,60756
1,6,2,4,60762
8,4,0,0,60768
1,2,9,1,60774
0,5,6,2,60780
0,1,3,10,60792
5,1,2,5,60822
4,0,6,3,60840
3,3,3,4,60846
2,6,0,5,60852
2,2,7,2,60864
1,5,4,3,60870
0,8,1,4,60876
0,4,8,1,60888
0,0,5,9,60900
6,1,0,6,60912
5,0,4,4,60930
4,3,1,5,60936
3,2,5,3,60954
2,5,2,4,60960
9,3,0,0,60966
2,1,9,1,60972
1,4,6,2,60978
0,7,3,3,60984
1,0,3,10,60990
6,0,2,5,61020
4,2,3,4,61044
3,5,0,5,61050
3,1,7,2,61062
2,4,4,3,61068
1,7,1,4,61074
1,3,8,1,61086
0,6,5,2,61092
0,2,2,10,61104
7,0,0,6,61110
5,2,1,5,61134
4,1,5,3,61152
3,4,2,4,61158
3,0,9,1,61170
2,3,6,2,61176
1,6,3,3,61182
0,9,0,4,61188
0,5,7,1,61200
0,1,4,9,61212
5,1,3,4,61242
4,4,0,5,61248
4,0,7,2,61260
3,3,4,3,61266
2,6,1,4,61272
2,2,8,1,61284
1,5,5,2,61290
0,8,2,3,61296
1,1,2,10,61302
0,4,9,0,61308
0,0,6,8,61320
6,1,1,5,61332
5,0,5,3,61350
4,3,2,4,61356
3,2,6,2,61374
2,5,3,3,61380
1,8,0,4,61386
1,4,7,1,61398
0,7,4,2,61404
1,0,4,9,61410
0,3,1,10,61416
6,0,3,4,61440
5,3,0,5,61446
4,2,4,3,61464
3,5,1,4,61470
3,1,8,1,61482
2,4,5,2,61488
1,7,2,3,61494
2,0,2,10,61500
1,3,9,0,61506
0,6,6,1,61512
0,2,3,9,61524
7,0,1,5,61530
5,2,2,4,61554
4,1,6,2,61572
3,4,3,3,61578
2,7,0,4,61584
2,3,7,1,61596
1,6,4,2,61602
0,9,1,3,61608
1,2,1,10,61614
0,5,8,0,61620
0,1,5,8,61632
6,2,0,5,61644
5,1,4,3,61662
4,4,1,4,61668
4,0,8,1,61680
3,3,5,2,61686
2,6,2,3,61692
2,2,9,0,61704
1,5,6,1,61710
0,8,3,2,61716
1,1,3,9,61722
0,4,0,10,61728
0,0,7,7,61740
6,1,2,4,61752
5,0,6,2,61770
4,3,3,3,61776
3,6,0,4,61782
3,2,7,1,61794
2,5,4,2,61800
1,8,1,3,61806
2,1,1,10,61812
1,4,8,0,61818
0,7,5,1,61824
1,0,5,8,61830
0,3,2,9,61836
7,1,0,5,61842
6,0,4,3,61860
5,3,1,4,61866
4,2,5,2,61884
3,5,2,3,61890
3,1,9,0,61902
2,4,6,1,61908
1,7,3,2,61914
2,0,3,9,61920
1,3,0,10,61926
0,6,7,0,61932
0,2,4,8,61944
7,0,2,4,61950
5,2,3,3,61974
4,5,0,4,61980
4,1,7,1,61992
3,4,4,2,61998
2,7,1,3,62004
3,0,1,10,62010
2,3,8,0,62016
1,6,5,1,62022
0,9,2,2,62028
1,2,2,9,62034
8,0,0,5,62040
0,1,6,7,62052
6,2,1,4,62064
5,1,5,2,62082
4,4,2,3,62088
4,0,9,0,62100
3,3,6,1,62106
2,6,3,2,62112
1,9,0,3,62118
2,2,0,10,62124
1,5,7,0,62130
0,8,4,1,62136
1,1,4,8,62142
0,4,1,9,62148
0,0,8,6,62160
6,1,3,3,62172
5,4,0,4,62178
5,0,7,1,62190
4,3,4,2,62196
3,6,1,3,62202
3,2,8,0,62214
2,5,5,1,62220
1,8,2,2,62226
2,1,2,9,62232
0,7,6,0,62244
1,0,6,7,62250
0,3,3,8,62256
7,1,1,4,62262
6,0,5,2,62280
5,3,2,3,62286
4,2,6,1,62304
3,5,3,2,62310
2,8,0,3,62316
3,1,0,10,62322
2,4,7,0,62328
1,7,4,1,62334
2,0,4,8,62340
1,3,1,9,62346
0,2,5,7,62364
7,0,3,3,62370
6,3,0,4,62376
5,2,4,2,62394
4,5,1,3,62400
4,1,8,0,62412
3,4,5,1,62418
2,7,2,2,62424
3,0,2,9,62430
1,6,6,0,62442
0,9,3,1,62448
1,2,3,8,62454
0,5,0,9,62460
8,0,1,4,62460
0,1,7,6,62472
6,2,2,3,62484
5,1,6,1,62502
4,4,3,2,62508
3,7,0,3,62514
4,0,0,10,62520
3,3,7,0,62526
2,6,4,1,62532
1,9,1,2,62538
2,2,1,9,62544
0,8,5,0,62556
1,1,5,7,62562
0,4,2,8,62568
7,2,0,4,62574
0,0,9,5,62580
6,1,4,2,62592
5,4,1,3,62598
5,0,8,0,62610
4,3,5,1,62616
3,6,2,2,62622
2,5,6,0,62640
1,8,3,1,62646
2,1,3,8,62652
1,4,0,9,62658
1,0,7,6,62670
0,3,4,7,62676
7,1,2,3,62682
6,0,6,1,62700
5,3,3,2,62706
4,6,0,3,62712
4,2,7,0,62724
3,5,4,1,62730
2,8,1,2,62736
3,1,1,9,62742
1,7,5,0,62754
2,0,5,7,62760
1,3,2,8,62766
8,1,0,4,62772
0,2,6,6,62784
7,0,4,2,62790
6,3,1,3,62796
5,2,5,1,62814
4,5,2,2,62820
3,4,6,0,62838
2,7,3,1,62844
3,0,3,8,62850
2,3,0,9,62856
0,9,4,0,62868
1,2,4,7,62874
0,5,1,8,62880
8,0,2,3,62880
0,1,8,5,62892
6,2,3,2,62904
5,5,0,3,62910
5,1,7,0,62922
4,4,4,1,62928
3,7,1,2,62934
4,0,1,9,62940
2,6,5,0,62952
1,9,2,1,62958
2,2,2,8,62964
9,0,0,4,62970
1,1,6,6,62982
0,4,3,7,62988
7,2,1,3,62994
6,1,5,1,63012
5,4,2,2,63018
4,3,6,0,63036
3,6,3,1,63042
2,9,0,2,63048
3,2,0,9,63054
1,8,4,0,63066
2,1,4,7,63072
1,4,1,8,63078
1,0,8,5,63090
0,3,5,6,63096
7,1,3,2,63102
6,4,0,3,63108
6,0,7,0,63120
5,3,4,1,63126
4,6,1,2,63132
3,5,5,0,63150
2,8,2,1,63156
3,1,2,8,63162
2,0,6,6,63180
1,3,3,7,63186
0,6,0,8,63192
8,1,1,3,63192
0,2,7,5,63204
7,0,5,1,63210
6,3,2,2,63216
5,2,6,0,63234
4,5,3,1,63240
3,8,0,2,63246
4,1,0,9,63252
2,7,4,0,63264
3,0,4,7,63270
2,3,1,8,63276
1,2,5,6,63294
0,5,2,7,63300
8,0,3,2,63300
7,3,0,3,63306
0,1,9,4,63312
6,2,4,1,63324
5,5,1,2,63330
4,4,5,0,63348
3,7,2,1,63354
4,0,2,8,63360
1,9,3,0,63378
2,2,3,7,63384
1,5,0,8,63390
9,0,1,3,63390
1,1,7,5,63402
0,4,4,6,63408
7,2,2,2,63414
6,1,6,0,63432
5,4,3,1,63438
4,7,0,2,63444
5,0,0,9,63450
3,6,4,0,63462
2,9,1,1,63468
3,2,1,8,63474
2,1,5,6,63492
1,4,2,7,63498
8,2,0,3,63504
1,0,9,4,63510
0,3,6,5,63516
7,1,4,1,63522
6,4,1,2,63528
5,3,5,0,63546
4,6,2,1,63552
2,8,3,0,63576
3,1,3,7,63582
2,4,0,8,63588
2,0,7,5,63600
1,3,4,6,63606
0,6,1,7,63612
8,1,2,2,63612
0,2,8,4,63624
7,0,6,0,63630
6,3,3,1,63636
5,6,0,2,63642
4,5,4,0,63660
3,8,1,1,63666
4,1,1,8,63672
3,0,5,6,63690
2,3,2,7,63696
9,1,0,3,63702
1,2,6,5,63714
0,5,3,6,63720
8,0,4,1,63720
7,3,1,2,63726
6,2,5,0,63744
5,5,2,1,63750
3,7,3,0,63774
4,0,3,7,63780
3,3,0,8,63786
2,2,4,6,63804
1,5,1,7,63810
9,0,2,2,63810
1,1,8,4,63822
0,4,5,5,63828
7,2,3,1,63834
6,5,0,2,63840
5,4,4,0,63858
4,7,1,1,63864
5,0,1,8,63870
2,9,2,0,63888
3,2,2,7,63894
2,1,6,5,63912
1,4,3,6,63918
0,7,0,7,63924
8,2,1,2,63924
0,3,7,4,63936
7,1,5,0,63942
6,4,2,1,63948
4,6,3,0,63972
3,9,0,1,63978
4,2,0,8,63984
3,1,4,6,64002
2,4,1,7,64008
2,0,8,4,64020
1,3,5,5,64026
0,6,2,6,64032
8,1,3,1,64032
7,4,0,2,64038
0,2,9,3,64044
6,3,4,0,64056
5,6,1,1,64062
3,8,2,0,64086
4,1,2,7,64092
3,0,6,5,64110
2,3,3,6,64116
1,6,0,7,64122
9,1,1,2,64122
1,2,7,4,64134
0,5,4,5,64140
8,0,5,0,64140
7,3,2,1,64146
5,5,3,0,64170
4,8,0,1,64176
5,1,0,8,64182
4,0,4,6,64200
3,3,1,7,64206
2,2,5,5,64224
1,5,2,6,64230
9,0,3,1,64230
8,3,0,2,64236
1,1,9,3,64242
0,4,6,4,64248
7,2,4,0,64254
6,5,1,1,64260
4,7,2,0,64284
5,0,2,7,64290
3,2,3,6,64314
2,5,0,7,64320
2,1,7,4,64332
1,4,4,5,64338
0,7,1,6,64344
8,2,2,1,64344
0,3,8,3,64356
6,4,3,0,64368
5,7,0,1,64374
6,0,0,8,64380
3,9,1,0,64398
4,2,1,7,64404
3,1,5,5,64422
2,4,2,6,64428
9,2,0,2,64434
2,0,9,3,64440
1,3,6,4,64446
0,6,3,5,64452
8,1,4,0,64452
7,4,1,1,64458
5,6,2,0,64482
4,1,3,6,64512
3,4,0,7,64518
3,0,7,4,64530
2,3,4,5,64536
1,6,1,6,64542
9,1,2,1,64542
1,2,8,3,64554
0,5,5,4,64560
7,3,3,0,64566
6,6,0,1,64572
4,8,1,0,64596
5,1,1,7,64602
4,0,5,5,64620
3,3,2,6,64626
2,2,6,4,64644
1,5,3,5,64650
9,0,4,0,64650
0,8,0,6,64656
8,3,1,1,64656
0,4,7,3,64668
6,5,2,0,64680
5,0,3,6,64710
4,3,0,7,64716
3,2,4,5,64734
2,5,1,6,64740
2,1,8,3,64752
1,4,5,4,64758
0,7,2,5,64764
8,2,3,0,64764
7,5,0,1,64770
0,3,9,2,64776
5,7,1,0,64794
6,0,1,7,64800
4,2,2,6,64824
3,1,6,4,64842
2,4,3,5,64848
1,7,0,6,64854
9,2,1,1,64854
1,3,7,3,64866
0,6,4,4,64872
7,4,2,0,64878
4,9,0,0,64908
5,2,0,7,64914
4,1,4,5,64932
3,4,1,6,64938
3,0,8,3,64950
2,3,5,4,64956
1,6,2,5,64962
9,1,3,0,64962
8,4,0,1,64968
1,2,9,2,64974
0,5,6,3,64980
6,6,1,0,64992
5,1,2,6,65022
4,0,6,4,65040
3,3,3,5,65046
2,6,0,6,65052
2,2,7,3,65064
1,5,4,4,65070
0,8,1,5,65076
8,3,2,0,65076
0,4,8,2,65088
0,0,5,10,65100
5,8,0,0,65106
6,1,0,7,65112
5,0,4,5,65130
4,3,1,6,65136
3,2,5,4,65154
2,5,2,5,65160
9,3,0,1,65166
2,1,9,2,65172
1,4,6,3,65178
0,7,3,4,65184
7,5,1,0,65190
6,0,2,6,65220
4,2,3,5,65244
3,5,0,6,65250
3,1,7,3,65262
2,4,4,4,65268
1,7,1,5,65274
9,2,2,0,65274
1,3,8,2,65286
0,6,5,3,65292
6,7,0,0,65304
7,0,0,7,65310
5,2,1,6,65334
4,1,5,4,65352
3,4,2,5,65358
3,0,9,2,65370
2,3,6,3,65376
1,6,3,4,65382
0,9,0,5,65388
8,4,1,0,65388
0,5,7,2,65400
0,1,4,10,65412
5,1,3,5,65442
4,4,0,6,65448
4,0,7,3,65460
3,3,4,4,65466
2,6,1,5,65472
2,2,8,2,65484
1,5,5,3,65490
0,8,2,4,65496
7,6,0,0,65502
0,4,9,1,65508
0,0,6,9,65520
6,1,1,6,65532
5,0,5,4,65550
4,3,2,5,65556
3,2,6,3,65574
2,5,3,4,65580
1,8,0,5,65586
9,3,1,0,65586
1,4,7,2,65598
0,7,4,3,65604
1,0,4,10,65610
6,0,3,5,65640
5,3,0,6,65646
4,2,4,4,65664
3,5,1,5,65670
3,1,8,2,65682
2,4,5,3,65688
1,7,2,4,65694
8,5,0,0,65700
1,3,9,1,65706
0,6,6,2,65712
0,2,3,10,65724
7,0,1,6,65730
5,2,2,5,65754
4,1,6,3,65772
3,4,3,4,65778
2,7,0,5,65784
2,3,7,2,65796
1,6,4,3,65802
0,9,1,4,65808
0,5,8,1,65820
0,1,5,9,65832
6,2,0,6,65844
5,1,4,4,65862
4,4,1,5,65868
4,0,8,2,65880
3,3,5,3,65886
2,6,2,4,65892
9,4,0,0,65898
2,2,9,1,65904
1,5,6,2,65910
0,8,3,3,65916
1,1,3,10,65922
0,0,7,8,65940
6,1,2,5,65952
5,0,6,3,65970
4,3,3,4,65976
3,6,0,5,65982
3,2,7,2,65994
2,5,4,3,66000
1,8,1,4,66006
