2m,4m,6m,mm,,,,,,,,,,
0,5,3,5,2345,,,,,,,,,
1,3,4,5,2345,,,,,,,,,
2,1,5,5,2345,,,,,,,,,
0,6,1,6,2346,,,,,,,,,
1,4,2,6,2346,,,,,,,,,
2,2,3,6,2346,,,,,,,,,
3,0,4,6,2346,,,,,,,,,
1,5,0,7,2347,,,,,,,,,
2,3,1,7,2347,,,,,,,,,
3,1,2,7,2347,,,,,,,,,
3,2,0,8,2348,,,,,,,,,
4,0,1,8,2348,,,,,,,,,
0,9,5,0,2349,,,,,,,,,
1,7,6,0,2349,,,,,,,,,
2,5,7,0,2349,,,,,,,,,
3,3,8,0,2349,,,,,,,,,
4,1,9,0,2349,,,,,,,,,
1,8,4,1,2350,,,,,,,,,
2,6,5,1,2350,,,,,,,,,
3,4,6,1,2350,,,,,,,,,
4,2,7,1,2350,,,,,,,,,
5,0,8,1,2350,,,,,,,,,
1,9,2,2,2351,,,,,,,,,
2,7,3,2,2351,,,,,,,,,
3,5,4,2,2351,,,,,,,,,
4,3,5,2,2351,,,,,,,,,
5,1,6,2,2351,,,,,,,,,
2,8,1,3,2352,,,,,,,,,
3,6,2,3,2352,,,,,,,,,
4,4,3,3,2352,,,,,,,,,
5,2,4,3,2352,,,,,,,,,
6,0,5,3,2352,,,,,,,,,
3,7,0,4,2353,,,,,,,,,
4,5,1,4,2353,,,,,,,,,
5,3,2,4,2353,,,,,,,,,
6,1,3,4,2353,,,,,,,,,
5,4,0,5,2354,,,,,,,,,
6,2,1,5,2354,,,,,,,,,
7,0,2,5,2354,,,,,,,,,
7,1,0,6,2355,,,,,,,,,
5,8,2,0,2358,,,,,,,,,
6,6,3,0,2358,,,,,,,,,
7,4,4,0,2358,,,,,,,,,
8,2,5,0,2358,,,,,,,,,
9,0,6,0,2358,,,,,,,,,
5,9,0,1,2359,,,,,,,,,
6,7,1,1,2359,,,,,,,,,
7,5,2,1,2359,,,,,,,,,
8,3,3,1,2359,,,,,,,,,
9,1,4,1,2359,,,,,,,,,
0,0,2,10,2360,,,,,,,,,
7,6,0,2,2360,,,,,,,,,
8,4,1,2,2360,,,,,,,,,
9,2,2,2,2360,,,,,,,,,
9,3,0,3,2361,,,,,,,,,
0,2,8,3,2362,,,,,,,,,
1,0,9,3,2362,,,,,,,,,
0,3,6,4,2363,,,,,,,,,
1,1,7,4,2363,,,,,,,,,
0,4,4,5,2364,,,,,,,,,
1,2,5,5,2364,,,,,,,,,
2,0,6,5,2364,,,,,,,,,
0,5,2,6,2365,,,,,,,,,
1,3,3,6,2365,,,,,,,,,
2,1,4,6,2365,,,,,,,,,
0,6,0,7,2366,,,,,,,,,
1,4,1,7,2366,,,,,,,,,
2,2,2,7,2366,,,,,,,,,
3,0,3,7,2366,,,,,,,,,
2,3,0,8,2367,,,,,,,,,
3,1,1,8,2367,,,,,,,,,
0,8,6,0,2368,,,,,,,,,
1,6,7,0,2368,,,,,,,,,
2,4,8,0,2368,,,,,,,,,
3,2,9,0,2368,,,,,,,,,
4,0,0,9,2368,,,,,,,,,
0,9,4,1,2369,,,,,,,,,
1,7,5,1,2369,,,,,,,,,
2,5,6,1,2369,,,,,,,,,
3,3,7,1,2369,,,,,,,,,
4,1,8,1,2369,,,,,,,,,
1,8,3,2,2370,,,,,,,,,
2,6,4,2,2370,,,,,,,,,
3,4,5,2,2370,,,,,,,,,
4,2,6,2,2370,,,,,,,,,
5,0,7,2,2370,,,,,,,,,
1,9,1,3,2371,,,,,,,,,
2,7,2,3,2371,,,,,,,,,
3,5,3,3,2371,,,,,,,,,
4,3,4,3,2371,,,,,,,,,
5,1,5,3,2371,,,,,,,,,
2,8,0,4,2372,,,,,,,,,
3,6,1,4,2372,,,,,,,,,
4,4,2,4,2372,,,,,,,,,
5,2,3,4,2372,,,,,,,,,
6,0,4,4,2372,,,,,,,,,
4,5,0,5,2373,,,,,,,,,
5,3,1,5,2373,,,,,,,,,
6,1,2,5,2373,,,,,,,,,
6,2,0,6,2374,,,,,,,,,
7,0,1,6,2374,,,,,,,,,
4,9,2,0,2377,,,,,,,,,
5,7,3,0,2377,,,,,,,,,
6,5,4,0,2377,,,,,,,,,
7,3,5,0,2377,,,,,,,,,
8,1,6,0,2377,,,,,,,,,
5,8,1,1,2378,,,,,,,,,
6,6,2,1,2378,,,,,,,,,
7,4,3,1,2378,,,,,,,,,
8,2,4,1,2378,,,,,,,,,
9,0,5,1,2378,,,,,,,,,
6,7,0,2,2379,,,,,,,,,
7,5,1,2,2379,,,,,,,,,
8,3,2,2,2379,,,,,,,,,
9,1,3,2,2379,,,,,,,,,
8,4,0,3,2380,,,,,,,,,
9,2,1,3,2380,,,,,,,,,
0,1,9,3,2381,,,,,,,,,
0,2,7,4,2382,,,,,,,,,
1,0,8,4,2382,,,,,,,,,
0,3,5,5,2383,,,,,,,,,
1,1,6,5,2383,,,,,,,,,
0,4,3,6,2384,,,,,,,,,
1,2,4,6,2384,,,,,,,,,
2,0,5,6,2384,,,,,,,,,
0,5,1,7,2385,,,,,,,,,
1,3,2,7,2385,,,,,,,,,
2,1,3,7,2385,,,,,,,,,
1,4,0,8,2386,,,,,,,,,
2,2,1,8,2386,,,,,,,,,
3,0,2,8,2386,,,,,,,,,
0,7,7,0,2387,,,,,,,,,
1,5,8,0,2387,,,,,,,,,
2,3,9,0,2387,,,,,,,,,
3,1,0,9,2387,,,,,,,,,
0,8,5,1,2388,,,,,,,,,
1,6,6,1,2388,,,,,,,,,
2,4,7,1,2388,,,,,,,,,
3,2,8,1,2388,,,,,,,,,
4,0,9,1,2388,,,,,,,,,
0,9,3,2,2389,,,,,,,,,
1,7,4,2,2389,,,,,,,,,
2,5,5,2,2389,,,,,,,,,
3,3,6,2,2389,,,,,,,,,
4,1,7,2,2389,,,,,,,,,
1,8,2,3,2390,,,,,,,,,
2,6,3,3,2390,,,,,,,,,
3,4,4,3,2390,,,,,,,,,
4,2,5,3,2390,,,,,,,,,
5,0,6,3,2390,,,,,,,,,
1,9,0,4,2391,,,,,,,,,
2,7,1,4,2391,,,,,,,,,
3,5,2,4,2391,,,,,,,,,
4,3,3,4,2391,,,,,,,,,
5,1,4,4,2391,,,,,,,,,
3,6,0,5,2392,,,,,,,,,
4,4,1,5,2392,,,,,,,,,
5,2,2,5,2392,,,,,,,,,
6,0,3,5,2392,,,,,,,,,
5,3,0,6,2393,,,,,,,,,
6,1,1,6,2393,,,,,,,,,
7,0,0,7,2394,,,,,,,,,
4,8,3,0,2396,,,,,,,,,
5,6,4,0,2396,,,,,,,,,
6,4,5,0,2396,,,,,,,,,
7,2,6,0,2396,,,,,,,,,
8,0,7,0,2396,,,,,,,,,
4,9,1,1,2397,,,,,,,,,
5,7,2,1,2397,,,,,,,,,
6,5,3,1,2397,,,,,,,,,
7,3,4,1,2397,,,,,,,,,
8,1,5,1,2397,,,,,,,,,
5,8,0,2,2398,,,,,,,,,
6,6,1,2,2398,,,,,,,,,
7,4,2,2,2398,,,,,,,,,
8,2,3,2,2398,,,,,,,,,
9,0,4,2,2398,,,,,,,,,
7,5,0,3,2399,,,,,,,,,
8,3,1,3,2399,,,,,,,,,
9,1,2,3,2399,,,,,,,,,
9,2,0,4,2400,,,,,,,,,
0,1,8,4,2401,,,,,,,,,
0,2,6,5,2402,,,,,,,,,
1,0,7,5,2402,,,,,,,,,
0,3,4,6,2403,,,,,,,,,
1,1,5,6,2403,,,,,,,,,
0,4,2,7,2404,,,,,,,,,
1,2,3,7,2404,,,,,,,,,
2,0,4,7,2404,,,,,,,,,
0,5,0,8,2405,,,,,,,,,
1,3,1,8,2405,,,,,,,,,
2,1,2,8,2405,,,,,,,,,
9,7,0,0,2405,,,,,,,,,
0,6,8,0,2406,,,,,,,,,
1,4,9,0,2406,,,,,,,,,
2,2,0,9,2406,,,,,,,,,
3,0,1,9,2406,,,,,,,,,
0,7,6,1,2407,,,,,,,,,
1,5,7,1,2407,,,,,,,,,
2,3,8,1,2407,,,,,,,,,
3,1,9,1,2407,,,,,,,,,
0,8,4,2,2408,,,,,,,,,
1,6,5,2,2408,,,,,,,,,
2,4,6,2,2408,,,,,,,,,
3,2,7,2,2408,,,,,,,,,
4,0,8,2,2408,,,,,,,,,
0,9,2,3,2409,,,,,,,,,
1,7,3,3,2409,,,,,,,,,
2,5,4,3,2409,,,,,,,,,
3,3,5,3,2409,,,,,,,,,
4,1,6,3,2409,,,,,,,,,
1,8,1,4,2410,,,,,,,,,
2,6,2,4,2410,,,,,,,,,
3,4,3,4,2410,,,,,,,,,
4,2,4,4,2410,,,,,,,,,
5,0,5,4,2410,,,,,,,,,
2,7,0,5,2411,,,,,,,,,
3,5,1,5,2411,,,,,,,,,
4,3,2,5,2411,,,,,,,,,
5,1,3,5,2411,,,,,,,,,
4,4,0,6,2412,,,,,,,,,
5,2,1,6,2412,,,,,,,,,
6,0,2,6,2412,,,,,,,,,
6,1,0,7,2413,,,,,,,,,
3,9,3,0,2415,,,,,,,,,
4,7,4,0,2415,,,,,,,,,
5,5,5,0,2415,,,,,,,,,
6,3,6,0,2415,,,,,,,,,
7,1,7,0,2415,,,,,,,,,
4,8,2,1,2416,,,,,,,,,
5,6,3,1,2416,,,,,,,,,
6,4,4,1,2416,,,,,,,,,
7,2,5,1,2416,,,,,,,,,
8,0,6,1,2416,,,,,,,,,
4,9,0,2,2417,,,,,,,,,
5,7,1,2,2417,,,,,,,,,
6,5,2,2,2417,,,,,,,,,
7,3,3,2,2417,,,,,,,,,
8,1,4,2,2417,,,,,,,,,
6,6,0,3,2418,,,,,,,,,
7,4,1,3,2418,,,,,,,,,
8,2,2,3,2418,,,,,,,,,
9,0,3,3,2418,,,,,,,,,
8,3,0,4,2419,,,,,,,,,
9,1,1,4,2419,,,,,,,,,
0,0,9,4,2420,,,,,,,,,
0,1,7,5,2421,,,,,,,,,
0,2,5,6,2422,,,,,,,,,
1,0,6,6,2422,,,,,,,,,
0,3,3,7,2423,,,,,,,,,
1,1,4,7,2423,,,,,,,,,
0,4,1,8,2424,,,,,,,,,
1,2,2,8,2424,,,,,,,,,
2,0,3,8,2424,,,,,,,,,
8,8,0,0,2424,,,,,,,,,
9,6,1,0,2424,,,,,,,,,
0,5,9,0,2425,,,,,,,,,
1,3,0,9,2425,,,,,,,,,
2,1,1,9,2425,,,,,,,,,
0,6,7,1,2426,,,,,,,,,
1,4,8,1,2426,,,,,,,,,
2,2,9,1,2426,,,,,,,,,
3,0,0,10,2426,,,,,,,,,
0,7,5,2,2427,,,,,,,,,
1,5,6,2,2427,,,,,,,,,
2,3,7,2,2427,,,,,,,,,
3,1,8,2,2427,,,,,,,,,
0,8,3,3,2428,,,,,,,,,
1,6,4,3,2428,,,,,,,,,
2,4,5,3,2428,,,,,,,,,
3,2,6,3,2428,,,,,,,,,
4,0,7,3,2428,,,,,,,,,
0,9,1,4,2429,,,,,,,,,
1,7,2,4,2429,,,,,,,,,
2,5,3,4,2429,,,,,,,,,
3,3,4,4,2429,,,,,,,,,
4,1,5,4,2429,,,,,,,,,
1,8,0,5,2430,,,,,,,,,
2,6,1,5,2430,,,,,,,,,
3,4,2,5,2430,,,,,,,,,
4,2,3,5,2430,,,,,,,,,
5,0,4,5,2430,,,,,,,,,
3,5,0,6,2431,,,,,,,,,
4,3,1,6,2431,,,,,,,,,
5,1,2,6,2431,,,,,,,,,
5,2,0,7,2432,,,,,,,,,
6,0,1,7,2432,,,,,,,,,
3,8,4,0,2434,,,,,,,,,
4,6,5,0,2434,,,,,,,,,
5,4,6,0,2434,,,,,,,,,
6,2,7,0,2434,,,,,,,,,
7,0,8,0,2434,,,,,,,,,
3,9,2,1,2435,,,,,,,,,
4,7,3,1,2435,,,,,,,,,
5,5,4,1,2435,,,,,,,,,
6,3,5,1,2435,,,,,,,,,
7,1,6,1,2435,,,,,,,,,
4,8,1,2,2436,,,,,,,,,
5,6,2,2,2436,,,,,,,,,
6,4,3,2,2436,,,,,,,,,
7,2,4,2,2436,,,,,,,,,
8,0,5,2,2436,,,,,,,,,
5,7,0,3,2437,,,,,,,,,
6,5,1,3,2437,,,,,,,,,
7,3,2,3,2437,,,,,,,,,
8,1,3,3,2437,,,,,,,,,
7,4,0,4,2438,,,,,,,,,
8,2,1,4,2438,,,,,,,,,
9,0,2,4,2438,,,,,,,,,
9,1,0,5,2439,,,,,,,,,
0,0,8,5,2440,,,,,,,,,
0,1,6,6,2441,,,,,,,,,
0,2,4,7,2442,,,,,,,,,
1,0,5,7,2442,,,,,,,,,
0,3,2,8,2443,,,,,,,,,
1,1,3,8,2443,,,,,,,,,
7,9,0,0,2443,,,,,,,,,
8,7,1,0,2443,,,,,,,,,
9,5,2,0,2443,,,,,,,,,
0,4,0,9,2444,,,,,,,,,
1,2,1,9,2444,,,,,,,,,
2,0,2,9,2444,,,,,,,,,
9,6,0,1,2444,,,,,,,,,
0,5,8,1,2445,,,,,,,,,
1,3,9,1,2445,,,,,,,,,
2,1,0,10,2445,,,,,,,,,
0,6,6,2,2446,,,,,,,,,
1,4,7,2,2446,,,,,,,,,
2,2,8,2,2446,,,,,,,,,
3,0,9,2,2446,,,,,,,,,
0,7,4,3,2447,,,,,,,,,
1,5,5,3,2447,,,,,,,,,
2,3,6,3,2447,,,,,,,,,
3,1,7,3,2447,,,,,,,,,
0,8,2,4,2448,,,,,,,,,
1,6,3,4,2448,,,,,,,,,
2,4,4,4,2448,,,,,,,,,
3,2,5,4,2448,,,,,,,,,
4,0,6,4,2448,,,,,,,,,
0,9,0,5,2449,,,,,,,,,
1,7,1,5,2449,,,,,,,,,
2,5,2,5,2449,,,,,,,,,
3,3,3,5,2449,,,,,,,,,
4,1,4,5,2449,,,,,,,,,
2,6,0,6,2450,,,,,,,,,
3,4,1,6,2450,,,,,,,,,
4,2,2,6,2450,,,,,,,,,
5,0,3,6,2450,,,,,,,,,
4,3,0,7,2451,,,,,,,,,
5,1,1,7,2451,,,,,,,,,
6,0,0,8,2452,,,,,,,,,
2,9,4,0,2453,,,,,,,,,
3,7,5,0,2453,,,,,,,,,
4,5,6,0,2453,,,,,,,,,
5,3,7,0,2453,,,,,,,,,
6,1,8,0,2453,,,,,,,,,
3,8,3,1,2454,,,,,,,,,
4,6,4,1,2454,,,,,,,,,
5,4,5,1,2454,,,,,,,,,
6,2,6,1,2454,,,,,,,,,
7,0,7,1,2454,,,,,,,,,
3,9,1,2,2455,,,,,,,,,
4,7,2,2,2455,,,,,,,,,
5,5,3,2,2455,,,,,,,,,
6,3,4,2,2455,,,,,,,,,
7,1,5,2,2455,,,,,,,,,
4,8,0,3,2456,,,,,,,,,
5,6,1,3,2456,,,,,,,,,
6,4,2,3,2456,,,,,,,,,
7,2,3,3,2456,,,,,,,,,
8,0,4,3,2456,,,,,,,,,
6,5,0,4,2457,,,,,,,,,
7,3,1,4,2457,,,,,,,,,
8,1,2,4,2457,,,,,,,,,
8,2,0,5,2458,,,,,,,,,
9,0,1,5,2458,,,,,,,,,
0,0,7,6,2460,,,,,,,,,
0,1,5,7,2461,,,,,,,,,
0,2,3,8,2462,,,,,,,,,
1,0,4,8,2462,,,,,,,,,
7,8,1,0,2462,,,,,,,,,
8,6,2,0,2462,,,,,,,,,
9,4,3,0,2462,,,,,,,,,
0,3,1,9,2463,,,,,,,,,
1,1,2,9,2463,,,,,,,,,
8,7,0,1,2463,,,,,,,,,
9,5,1,1,2463,,,,,,,,,
0,4,9,1,2464,,,,,,,,,
1,2,0,10,2464,,,,,,,,,
2,0,1,10,2464,,,,,,,,,
0,5,7,2,2465,,,,,,,,,
1,3,8,2,2465,,,,,,,,,
2,1,9,2,2465,,,,,,,,,
0,6,5,3,2466,,,,,,,,,
1,4,6,3,2466,,,,,,,,,
2,2,7,3,2466,,,,,,,,,
3,0,8,3,2466,,,,,,,,,
0,7,3,4,2467,,,,,,,,,
1,5,4,4,2467,,,,,,,,,
2,3,5,4,2467,,,,,,,,,
3,1,6,4,2467,,,,,,,,,
0,8,1,5,2468,,,,,,,,,
1,6,2,5,2468,,,,,,,,,
2,4,3,5,2468,,,,,,,,,
3,2,4,5,2468,,,,,,,,,
4,0,5,5,2468,,,,,,,,,
1,7,0,6,2469,,,,,,,,,
2,5,1,6,2469,,,,,,,,,
3,3,2,6,2469,,,,,,,,,
4,1,3,6,2469,,,,,,,,,
3,4,0,7,2470,,,,,,,,,
4,2,1,7,2470,,,,,,,,,
5,0,2,7,2470,,,,,,,,,
5,1,0,8,2471,,,,,,,,,
2,8,5,0,2472,,,,,,,,,
3,6,6,0,2472,,,,,,,,,
4,4,7,0,2472,,,,,,,,,
5,2,8,0,2472,,,,,,,,,
6,0,9,0,2472,,,,,,,,,
2,9,3,1,2473,,,,,,,,,
3,7,4,1,2473,,,,,,,,,
4,5,5,1,2473,,,,,,,,,
5,3,6,1,2473,,,,,,,,,
6,1,7,1,2473,,,,,,,,,
3,8,2,2,2474,,,,,,,,,
4,6,3,2,2474,,,,,,,,,
5,4,4,2,2474,,,,,,,,,
6,2,5,2,2474,,,,,,,,,
7,0,6,2,2474,,,,,,,,,
3,9,0,3,2475,,,,,,,,,
4,7,1,3,2475,,,,,,,,,
5,5,2,3,2475,,,,,,,,,
6,3,3,3,2475,,,,,,,,,
7,1,4,3,2475,,,,,,,,,
5,6,0,4,2476,,,,,,,,,
6,4,1,4,2476,,,,,,,,,
7,2,2,4,2476,,,,,,,,,
8,0,3,4,2476,,,,,,,,,
7,3,0,5,2477,,,,,,,,,
8,1,1,5,2477,,,,,,,,,
9,0,0,6,2478,,,,,,,,,
0,0,6,7,2480,,,,,,,,,
0,1,4,8,2481,,,,,,,,,
6,9,1,0,2481,,,,,,,,,
7,7,2,0,2481,,,,,,,,,
8,5,3,0,2481,,,,,,,,,
9,3,4,0,2481,,,,,,,,,
0,2,2,9,2482,,,,,,,,,
1,0,3,9,2482,,,,,,,,,
7,8,0,1,2482,,,,,,,,,
8,6,1,1,2482,,,,,,,,,
9,4,2,1,2482,,,,,,,,,
0,3,0,10,2483,,,,,,,,,
1,1,1,10,2483,,,,,,,,,
9,5,0,2,2483,,,,,,,,,
0,4,8,2,2484,,,,,,,,,
1,2,9,2,2484,,,,,,,,,
0,5,6,3,2485,,,,,,,,,
1,3,7,3,2485,,,,,,,,,
2,1,8,3,2485,,,,,,,,,
0,6,4,4,2486,,,,,,,,,
1,4,5,4,2486,,,,,,,,,
2,2,6,4,2486,,,,,,,,,
3,0,7,4,2486,,,,,,,,,
0,7,2,5,2487,,,,,,,,,
1,5,3,5,2487,,,,,,,,,
2,3,4,5,2487,,,,,,,,,
3,1,5,5,2487,,,,,,,,,
0,8,0,6,2488,,,,,,,,,
1,6,1,6,2488,,,,,,,,,
2,4,2,6,2488,,,,,,,,,
3,2,3,6,2488,,,,,,,,,
4,0,4,6,2488,,,,,,,,,
2,5,0,7,2489,,,,,,,,,
3,3,1,7,2489,,,,,,,,,
4,1,2,7,2489,,,,,,,,,
4,2,0,8,2490,,,,,,,,,
5,0,1,8,2490,,,,,,,,,
1,9,5,0,2491,,,,,,,,,
2,7,6,0,2491,,,,,,,,,
3,5,7,0,2491,,,,,,,,,
4,3,8,0,2491,,,,,,,,,
5,1,9,0,2491,,,,,,,,,
2,8,4,1,2492,,,,,,,,,
3,6,5,1,2492,,,,,,,,,
4,4,6,1,2492,,,,,,,,,
5,2,7,1,2492,,,,,,,,,
6,0,8,1,2492,,,,,,,,,
2,9,2,2,2493,,,,,,,,,
3,7,3,2,2493,,,,,,,,,
4,5,4,2,2493,,,,,,,,,
5,3,5,2,2493,,,,,,,,,
6,1,6,2,2493,,,,,,,,,
3,8,1,3,2494,,,,,,,,,
4,6,2,3,2494,,,,,,,,,
5,4,3,3,2494,,,,,,,,,
6,2,4,3,2494,,,,,,,,,
7,0,5,3,2494,,,,,,,,,
4,7,0,4,2495,,,,,,,,,
5,5,1,4,2495,,,,,,,,,
6,3,2,4,2495,,,,,,,,,
7,1,3,4,2495,,,,,,,,,
6,4,0,5,2496,,,,,,,,,
7,2,1,5,2496,,,,,,,,,
8,0,2,5,2496,,,,,,,,,
8,1,0,6,2497,,,,,,,,,
0,0,5,8,2500,,,,,,,,,
6,8,2,0,2500,,,,,,,,,
7,6,3,0,2500,,,,,,,,,
8,4,4,0,2500,,,,,,,,,
9,2,5,0,2500,,,,,,,,,
0,1,3,9,2501,,,,,,,,,
6,9,0,1,2501,,,,,,,,,
7,7,1,1,2501,,,,,,,,,
8,5,2,1,2501,,,,,,,,,
9,3,3,1,2501,,,,,,,,,
0,2,1,10,2502,,,,,,,,,
1,0,2,10,2502,,,,,,,,,
8,6,0,2,2502,,,,,,,,,
9,4,1,2,2502,,,,,,,,,
0,3,9,2,2503,,,,,,,,,
0,4,7,3,2504,,,,,,,,,
1,2,8,3,2504,,,,,,,,,
2,0,9,3,2504,,,,,,,,,
0,5,5,4,2505,,,,,,,,,
1,3,6,4,2505,,,,,,,,,
2,1,7,4,2505,,,,,,,,,
0,6,3,5,2506,,,,,,,,,
1,4,4,5,2506,,,,,,,,,
2,2,5,5,2506,,,,,,,,,
3,0,6,5,2506,,,,,,,,,
0,7,1,6,2507,,,,,,,,,
1,5,2,6,2507,,,,,,,,,
2,3,3,6,2507,,,,,,,,,
3,1,4,6,2507,,,,,,,,,
1,6,0,7,2508,,,,,,,,,
2,4,1,7,2508,,,,,,,,,
3,2,2,7,2508,,,,,,,,,
4,0,3,7,2508,,,,,,,,,
3,3,0,8,2509,,,,,,,,,
4,1,1,8,2509,,,,,,,,,
1,8,6,0,2510,,,,,,,,,
2,6,7,0,2510,,,,,,,,,
3,4,8,0,2510,,,,,,,,,
4,2,9,0,2510,,,,,,,,,
5,0,0,9,2510,,,,,,,,,
1,9,4,1,2511,,,,,,,,,
2,7,5,1,2511,,,,,,,,,
3,5,6,1,2511,,,,,,,,,
4,3,7,1,2511,,,,,,,,,
5,1,8,1,2511,,,,,,,,,
2,8,3,2,2512,,,,,,,,,
3,6,4,2,2512,,,,,,,,,
4,4,5,2,2512,,,,,,,,,
5,2,6,2,2512,,,,,,,,,
6,0,7,2,2512,,,,,,,,,
2,9,1,3,2513,,,,,,,,,
3,7,2,3,2513,,,,,,,,,
4,5,3,3,2513,,,,,,,,,
5,3,4,3,2513,,,,,,,,,
6,1,5,3,2513,,,,,,,,,
3,8,0,4,2514,,,,,,,,,
4,6,1,4,2514,,,,,,,,,
5,4,2,4,2514,,,,,,,,,
6,2,3,4,2514,,,,,,,,,
7,0,4,4,2514,,,,,,,,,
5,5,0,5,2515,,,,,,,,,
6,3,1,5,2515,,,,,,,,,
7,1,2,5,2515,,,,,,,,,
7,2,0,6,2516,,,,,,,,,
8,0,1,6,2516,,,,,,,,,
5,9,2,0,2519,,,,,,,,,
6,7,3,0,2519,,,,,,,,,
7,5,4,0,2519,,,,,,,,,
8,3,5,0,2519,,,,,,,,,
9,1,6,0,2519,,,,,,,,,
0,0,4,9,2520,,,,,,,,,
6,8,1,1,2520,,,,,,,,,
7,6,2,1,2520,,,,,,,,,
8,4,3,1,2520,,,,,,,,,
9,2,4,1,2520,,,,,,,,,
0,1,2,10,2521,,,,,,,,,
7,7,0,2,2521,,,,,,,,,
8,5,1,2,2521,,,,,,,,,
9,3,2,2,2521,,,,,,,,,
9,4,0,3,2522,,,,,,,,,
0,3,8,3,2523,,,,,,,,,
1,1,9,3,2523,,,,,,,,,
0,4,6,4,2524,,,,,,,,,
1,2,7,4,2524,,,,,,,,,
2,0,8,4,2524,,,,,,,,,
0,5,4,5,2525,,,,,,,,,
1,3,5,5,2525,,,,,,,,,
2,1,6,5,2525,,,,,,,,,
0,6,2,6,2526,,,,,,,,,
1,4,3,6,2526,,,,,,,,,
2,2,4,6,2526,,,,,,,,,
3,0,5,6,2526,,,,,,,,,
0,7,0,7,2527,,,,,,,,,
1,5,1,7,2527,,,,,,,,,
2,3,2,7,2527,,,,,,,,,
3,1,3,7,2527,,,,,,,,,
2,4,0,8,2528,,,,,,,,,
3,2,1,8,2528,,,,,,,,,
4,0,2,8,2528,,,,,,,,,
0,9,6,0,2529,,,,,,,,,
1,7,7,0,2529,,,,,,,,,
2,5,8,0,2529,,,,,,,,,
3,3,9,0,2529,,,,,,,,,
4,1,0,9,2529,,,,,,,,,
1,8,5,1,2530,,,,,,,,,
2,6,6,1,2530,,,,,,,,,
3,4,7,1,2530,,,,,,,,,
4,2,8,1,2530,,,,,,,,,
5,0,9,1,2530,,,,,,,,,
1,9,3,2,2531,,,,,,,,,
2,7,4,2,2531,,,,,,,,,
3,5,5,2,2531,,,,,,,,,
4,3,6,2,2531,,,,,,,,,
5,1,7,2,2531,,,,,,,,,
2,8,2,3,2532,,,,,,,,,
3,6,3,3,2532,,,,,,,,,
4,4,4,3,2532,,,,,,,,,
5,2,5,3,2532,,,,,,,,,
6,0,6,3,2532,,,,,,,,,
2,9,0,4,2533,,,,,,,,,
3,7,1,4,2533,,,,,,,,,
4,5,2,4,2533,,,,,,,,,
5,3,3,4,2533,,,,,,,,,
6,1,4,4,2533,,,,,,,,,
4,6,0,5,2534,,,,,,,,,
5,4,1,5,2534,,,,,,,,,
6,2,2,5,2534,,,,,,,,,
7,0,3,5,2534,,,,,,,,,
6,3,0,6,2535,,,,,,,,,
7,1,1,6,2535,,,,,,,,,
8,0,0,7,2536,,,,,,,,,
5,8,3,0,2538,,,,,,,,,
6,6,4,0,2538,,,,,,,,,
7,4,5,0,2538,,,,,,,,,
8,2,6,0,2538,,,,,,,,,
9,0,7,0,2538,,,,,,,,,
5,9,1,1,2539,,,,,,,,,
6,7,2,1,2539,,,,,,,,,
7,5,3,1,2539,,,,,,,,,
8,3,4,1,2539,,,,,,,,,
9,1,5,1,2539,,,,,,,,,
0,0,3,10,2540,,,,,,,,,
6,8,0,2,2540,,,,,,,,,
7,6,1,2,2540,,,,,,,,,
8,4,2,2,2540,,,,,,,,,
9,2,3,2,2540,,,,,,,,,
8,5,0,3,2541,,,,,,,,,
9,3,1,3,2541,,,,,,,,,
0,2,9,3,2542,,,,,,,,,
0,3,7,4,2543,,,,,,,,,
1,1,8,4,2543,,,,,,,,,
0,4,5,5,2544,,,,,,,,,
1,2,6,5,2544,,,,,,,,,
2,0,7,5,2544,,,,,,,,,
0,5,3,6,2545,,,,,,,,,
1,3,4,6,2545,,,,,,,,,
2,1,5,6,2545,,,,,,,,,
0,6,1,7,2546,,,,,,,,,
1,4,2,7,2546,,,,,,,,,
2,2,3,7,2546,,,,,,,,,
3,0,4,7,2546,,,,,,,,,
1,5,0,8,2547,,,,,,,,,
2,3,1,8,2547,,,,,,,,,
3,1,2,8,2547,,,,,,,,,
0,8,7,0,2548,,,,,,,,,
1,6,8,0,2548,,,,,,,,,
2,4,9,0,2548,,,,,,,,,
3,2,0,9,2548,,,,,,,,,
4,0,1,9,2548,,,,,,,,,
0,9,5,1,2549,,,,,,,,,
1,7,6,1,2549,,,,,,,,,
2,5,7,1,2549,,,,,,,,,
3,3,8,1,2549,,,,,,,,,
4,1,9,1,2549,,,,,,,,,
1,8,4,2,2550,,,,,,,,,
2,6,5,2,2550,,,,,,,,,
3,4,6,2,2550,,,,,,,,,
4,2,7,2,2550,,,,,,,,,
5,0,8,2,2550,,,,,,,,,
1,9,2,3,2551,,,,,,,,,
2,7,3,3,2551,,,,,,,,,
3,5,4,3,2551,,,,,,,,,
4,3,5,3,2551,,,,,,,,,
5,1,6,3,2551,,,,,,,,,
2,8,1,4,2552,,,,,,,,,
3,6,2,4,2552,,,,,,,,,
4,4,3,4,2552,,,,,,,,,
5,2,4,4,2552,,,,,,,,,
6,0,5,4,2552,,,,,,,,,
3,7,0,5,2553,,,,,,,,,
4,5,1,5,2553,,,,,,,,,
5,3,2,5,2553,,,,,,,,,
