"2m","2mp","4m","6m","mm"
0,1,2,7,1,1041
0,3,9,1,0,1041
0,5,0,2,3,1041
0,5,0,6,0,1041
1,0,6,3,2,1041
1,4,4,2,1,1041
1,8,2,1,0,1041
2,1,1,0,6,1041
2,1,1,4,3,1041
2,1,1,8,0,1041
3,0,5,0,4,1041
3,0,5,4,1,1041
3,4,3,3,0,1041
4,1,0,1,5,1041
4,1,0,5,2,1041
5,0,4,1,3,1041
5,0,4,5,0,1041
5,4,2,0,2,1041
6,3,6,0,0,1041
7,0,3,2,2,1041
7,4,1,1,1,1041
9,0,2,3,1,1041
9,4,0,2,0,1041
0,0,5,3,3,1042
0,0,5,7,0,1042
0,4,3,2,2,1042
0,8,1,1,1,1042
1,1,0,0,7,1042
1,1,0,4,4,1042
1,1,0,8,1,1042
1,3,7,2,0,1042
2,0,4,0,5,1042
2,0,4,4,2,1042
2,4,2,3,1,1042
2,8,0,2,0,1042
4,0,3,1,4,1042
4,0,3,5,1,1042
4,4,1,0,3,1042
4,4,1,4,0,1042
5,3,5,0,1,1042
6,0,2,2,3,1042
6,0,2,6,0,1042
6,4,0,1,2,1042
7,3,4,1,0,1042
8,0,1,3,2,1042
0,3,6,2,1,1043
0,7,4,1,0,1043
1,0,3,0,6,1043
1,0,3,4,3,1043
1,0,3,8,0,1043
1,4,1,3,2,1043
2,3,5,3,0,1043
3,0,2,1,5,1043
3,0,2,5,2,1043
3,4,0,0,4,1043
3,4,0,4,1,1043
4,3,4,0,2,1043
5,0,1,2,4,1043
5,0,1,6,1,1043
5,2,8,0,0,1043
6,3,3,1,1,1043
6,7,1,0,0,1043
7,0,0,3,3,1043
7,0,0,7,0,1043
8,3,2,2,0,1043
0,0,2,0,7,1044
0,0,2,4,4,1044
0,0,2,8,1,1044
0,2,9,2,0,1044
0,4,0,3,3,1044
0,4,0,7,0,1044
1,3,4,3,1,1044
1,7,2,2,0,1044
2,0,1,1,6,1044
2,0,1,5,3,1044
2,0,1,9,0,1044
3,3,3,0,3,1044
3,3,3,4,0,1044
4,0,0,2,5,1044
4,0,0,6,2,1044
4,2,7,0,1,1044
5,3,2,1,2,1044
5,7,0,0,1,1044
6,2,6,1,0,1044
7,3,1,2,1,1044
9,3,0,3,0,1044
0,3,3,3,2,1045
0,7,1,2,1,1045
1,0,0,1,7,1045
1,0,0,5,4,1045
1,0,0,9,1,1045
1,2,7,3,0,1045
2,3,2,0,4,1045
2,3,2,4,1,1045
2,7,0,3,0,1045
3,2,6,0,2,1045
4,3,1,1,3,1045
4,3,1,5,0,1045
5,2,5,1,1,1045
5,6,3,0,0,1045
6,3,0,2,2,1045
7,2,4,2,0,1045
0,2,6,3,1,1046
0,6,4,2,0,1046
1,3,1,0,5,1046
1,3,1,4,2,1046
2,2,5,0,3,1046
2,2,5,4,0,1046
3,1,9,0,1,1046
3,3,0,1,4,1046
3,3,0,5,1,1046
4,2,4,1,2,1046
4,6,2,0,1,1046
5,1,8,1,0,1046
6,2,3,2,1,1046
6,6,1,1,0,1046
8,2,2,3,0,1046
0,1,9,3,0,1047
0,3,0,0,6,1047
0,3,0,4,3,1047
0,3,0,8,0,1047
1,2,4,0,4,1047
1,2,4,4,1,1047
1,6,2,3,0,1047
2,1,8,0,2,1047
3,2,3,1,3,1047
3,2,3,5,0,1047
3,6,1,0,2,1047
4,1,7,1,1,1047
4,5,5,0,0,1047
5,2,2,2,2,1047
5,6,0,1,1,1047
6,1,6,2,0,1047
7,2,1,3,1,1047
9,2,0,0,3,1047
9,2,0,4,0,1047
0,2,3,0,5,1048
0,2,3,4,2,1048
0,6,1,3,1,1048
1,1,7,0,3,1048
1,1,7,4,0,1048
2,2,2,1,4,1048
2,2,2,5,1,1048
2,6,0,0,3,1048
2,6,0,4,0,1048
3,1,6,1,2,1048
3,5,4,0,1,1048
4,2,1,2,3,1048
4,2,1,6,0,1048
5,1,5,2,1,1048
5,5,3,1,0,1048
6,2,0,3,2,1048
7,1,4,3,0,1048
9,1,3,0,2,1048
0,1,6,0,4,1049
0,1,6,4,1,1049
0,5,4,3,0,1049
1,2,1,1,5,1049
1,2,1,5,2,1049
2,1,5,1,3,1049
2,1,5,5,0,1049
2,5,3,0,2,1049
3,0,9,1,1,1049
3,2,0,2,4,1049
3,2,0,6,1,1049
3,4,7,0,0,1049
4,1,4,2,2,1049
4,5,2,1,1,1049
4,9,0,0,0,1049
5,0,8,2,0,1049
6,1,3,3,1,1049
6,5,1,2,0,1049
8,1,2,0,3,1049
8,1,2,4,0,1049
9,0,6,0,1,1049
0,0,9,0,3,1050
0,0,9,4,0,1050
0,2,0,1,6,1050
0,2,0,5,3,1050
0,2,0,9,0,1050
1,1,4,1,4,1050
1,1,4,5,1,1050
1,5,2,0,3,1050
1,5,2,4,0,1050
2,0,8,1,2,1050
2,4,6,0,1,1050
3,1,3,2,3,1050
3,1,3,6,0,1050
3,5,1,1,2,1050
4,0,7,2,1,1050
4,4,5,1,0,1050
5,1,2,3,2,1050
5,5,0,2,1,1050
6,0,6,3,0,1050
7,1,1,0,4,1050
7,1,1,4,1,1050
8,0,5,0,2,1050
9,1,0,1,3,1050
9,1,0,5,0,1050
0,1,3,1,5,1051
0,1,3,5,2,1051
0,5,1,0,4,1051
0,5,1,4,1,1051
1,0,7,1,3,1051
1,0,7,5,0,1051
1,4,5,0,2,1051
2,1,2,2,4,1051
2,1,2,6,1,1051
2,3,9,0,0,1051
2,5,0,1,3,1051
2,5,0,5,0,1051
3,0,6,2,2,1051
3,4,4,1,1,1051
3,8,2,0,0,1051
4,1,1,3,3,1051
4,1,1,7,0,1051
5,0,5,3,1,1051
5,4,3,2,0,1051
6,1,0,0,5,1051
6,1,0,4,2,1051
7,0,4,0,3,1051
7,0,4,4,0,1051
9,0,3,1,2,1051
9,4,1,0,1,1051
0,0,6,1,4,1052
0,0,6,5,1,1052
0,4,4,0,3,1052
0,4,4,4,0,1052
1,1,1,2,5,1052
1,1,1,6,2,1052
1,3,8,0,1,1052
2,0,5,2,3,1052
2,0,5,6,0,1052
2,4,3,1,2,1052
2,8,1,0,1,1052
3,1,0,3,4,1052
3,1,0,7,1,1052
3,3,7,1,0,1052
4,0,4,3,2,1052
4,4,2,2,1,1052
4,8,0,1,0,1052
6,0,3,0,4,1052
6,0,3,4,1,1052
6,4,1,3,0,1052
8,0,2,1,3,1052
8,0,2,5,0,1052
8,4,0,0,2,1052
9,3,4,0,0,1052
0,1,0,2,6,1053
0,1,0,6,3,1053
0,3,7,0,2,1053
1,0,4,2,4,1053
1,0,4,6,1,1053
1,4,2,1,3,1053
1,4,2,5,0,1053
1,8,0,0,2,1053
2,3,6,1,1,1053
2,7,4,0,0,1053
3,0,3,3,3,1053
3,0,3,7,0,1053
3,4,1,2,2,1053
4,3,5,2,0,1053
5,0,2,0,5,1053
5,0,2,4,2,1053
5,4,0,3,1,1053
7,0,1,1,4,1053
7,0,1,5,1,1053
8,3,3,0,1,1053
9,0,0,2,3,1053
9,0,0,6,0,1053
0,0,3,2,5,1054
0,0,3,6,2,1054
0,4,1,1,4,1054
0,4,1,5,1,1054
1,3,5,1,2,1054
1,7,3,0,1,1054
2,0,2,3,4,1054
2,0,2,7,1,1054
2,2,9,1,0,1054
2,4,0,2,3,1054
2,4,0,6,0,1054
3,3,4,2,1,1054
3,7,2,1,0,1054
4,0,1,0,6,1054
4,0,1,4,3,1054
4,0,1,8,0,1054
5,3,3,3,0,1054
6,0,0,1,5,1054
6,0,0,5,2,1054
7,3,2,0,2,1054
8,2,6,0,0,1054
9,3,1,1,1,1054
0,3,4,1,3,1055
0,3,4,5,0,1055
0,7,2,0,2,1055
1,0,1,3,5,1055
1,0,1,7,2,1055
1,2,8,1,1,1055
1,6,6,0,0,1055
2,3,3,2,2,1055
2,7,1,1,1,1055
3,0,0,0,7,1055
3,0,0,4,4,1055
3,0,0,8,1,1055
3,2,7,2,0,1055
4,3,2,3,1,1055
4,7,0,2,0,1055
6,3,1,0,3,1055
6,3,1,4,0,1055
7,2,5,0,1,1055
8,3,0,1,2,1055
9,2,4,1,0,1055
0,0,0,3,6,1056
0,0,0,7,3,1056
0,2,7,1,2,1056
0,6,5,0,1,1056
1,3,2,2,3,1056
1,3,2,6,0,1056
1,7,0,1,2,1056
2,2,6,2,1,1056
2,6,4,1,0,1056
3,3,1,3,2,1056
4,2,5,3,0,1056
5,3,0,0,4,1056
5,3,0,4,1,1056
6,2,4,0,2,1056
7,1,8,0,0,1056
8,2,3,1,1,1056
8,6,1,0,0,1056
0,3,1,2,4,1057
0,3,1,6,1,1057
0,5,8,0,0,1057
1,2,5,2,2,1057
1,6,3,1,1,1057
2,1,9,2,0,1057
2,3,0,3,3,1057
2,3,0,7,0,1057
3,2,4,3,1,1057
3,6,2,2,0,1057
5,2,3,0,3,1057
5,2,3,4,0,1057
6,1,7,0,1,1057
7,2,2,1,2,1057
7,6,0,0,1,1057
8,1,6,1,0,1057
9,2,1,2,1,1057
0,2,4,2,3,1058
0,2,4,6,0,1058
0,6,2,1,2,1058
1,1,8,2,1,1058
1,5,6,1,0,1058
2,2,3,3,2,1058
2,6,1,2,1,1058
3,1,7,3,0,1058
4,2,2,0,4,1058
4,2,2,4,1,1058
4,6,0,3,0,1058
5,1,6,0,2,1058
6,2,1,1,3,1058
6,2,1,5,0,1058
7,1,5,1,1,1058
7,5,3,0,0,1058
8,2,0,2,2,1058
9,1,4,2,0,1058
0,1,7,2,2,1059
0,5,5,1,1,1059
0,9,3,0,0,1059
1,2,2,3,3,1059
1,2,2,7,0,1059
1,6,0,2,2,1059
2,1,6,3,1,1059
2,5,4,2,0,1059
3,2,1,0,5,1059
3,2,1,4,2,1059
4,1,5,0,3,1059
4,1,5,4,0,1059
5,0,9,0,1,1059
5,2,0,1,4,1059
5,2,0,5,1,1059
6,1,4,1,2,1059
6,5,2,0,1,1059
7,0,8,1,0,1059
8,1,3,2,1,1059
8,5,1,1,0,1059
0,2,1,3,4,1060
0,2,1,7,1,1060
0,4,8,1,0,1060
1,1,5,3,2,1060
1,5,3,2,1,1060
1,9,1,1,0,1060
2,0,9,3,0,1060
2,2,0,0,6,1060
2,2,0,4,3,1060
2,2,0,8,0,1060
3,1,4,0,4,1060
3,1,4,4,1,1060
3,5,2,3,0,1060
4,0,8,0,2,1060
5,1,3,1,3,1060
5,1,3,5,0,1060
5,5,1,0,2,1060
6,0,7,1,1,1060
6,4,5,0,0,1060
7,1,2,2,2,1060
7,5,0,1,1,1060
8,0,6,2,0,1060
9,1,1,3,1,1060
0,1,4,3,3,1061
0,1,4,7,0,1061
0,5,2,2,2,1061
0,9,0,1,1,1061
1,0,8,3,1,1061
1,4,6,2,0,1061
2,1,3,0,5,1061
2,1,3,4,2,1061
2,5,1,3,1,1061
3,0,7,0,3,1061
3,0,7,4,0,1061
4,1,2,1,4,1061
4,1,2,5,1,1061
4,5,0,0,3,1061
4,5,0,4,0,1061
5,0,6,1,2,1061
5,4,4,0,1,1061
6,1,1,2,3,1061
6,1,1,6,0,1061
7,0,5,2,1,1061
7,4,3,1,0,1061
8,1,0,3,2,1061
9,0,4,3,0,1061
0,0,7,3,2,1062
0,4,5,2,1,1062
0,8,3,1,0,1062
1,1,2,0,6,1062
1,1,2,4,3,1062
1,1,2,8,0,1062
1,5,0,3,2,1062
2,0,6,0,4,1062
2,0,6,4,1,1062
2,4,4,3,0,1062
3,1,1,1,5,1062
3,1,1,5,2,1062
4,0,5,1,3,1062
4,0,5,5,0,1062
4,4,3,0,2,1062
5,1,0,2,4,1062
5,1,0,6,1,1062
5,3,7,0,0,1062
6,0,4,2,2,1062
6,4,2,1,1,1062
6,8,0,0,0,1062
8,0,3,3,1,1062
8,4,1,2,0,1062
0,1,1,0,7,1063
0,1,1,4,4,1063
0,1,1,8,1,1063
0,3,8,2,0,1063
1,0,5,0,5,1063
1,0,5,4,2,1063
1,4,3,3,1,1063
1,8,1,2,0,1063
2,1,0,1,6,1063
2,1,0,5,3,1063
2,1,0,9,0,1063
3,0,4,1,4,1063
3,0,4,5,1,1063
3,4,2,0,3,1063
3,4,2,4,0,1063
4,3,6,0,1,1063
5,0,3,2,3,1063
5,0,3,6,0,1063
5,4,1,1,2,1063
6,3,5,1,0,1063
7,0,2,3,2,1063
7,4,0,2,1,1063
9,0,1,0,4,1063
9,0,1,4,1,1063
0,0,4,0,6,1064
0,0,4,4,3,1064
0,0,4,8,0,1064
0,4,2,3,2,1064
0,8,0,2,1,1064
1,3,6,3,0,1064
2,0,3,1,5,1064
2,0,3,5,2,1064
2,4,1,0,4,1064
2,4,1,4,1,1064
3,3,5,0,2,1064
4,0,2,2,4,1064
4,0,2,6,1,1064
4,2,9,0,0,1064
4,4,0,1,3,1064
4,4,0,5,0,1064
5,3,4,1,1,1064
5,7,2,0,0,1064
6,0,1,3,3,1064
6,0,1,7,0,1064
7,3,3,2,0,1064
8,0,0,0,5,1064
8,0,0,4,2,1064
0,3,5,3,1,1065
0,7,3,2,0,1065
1,0,2,1,6,1065
1,0,2,5,3,1065
1,0,2,9,0,1065
1,4,0,0,5,1065
1,4,0,4,2,1065
2,3,4,0,3,1065
2,3,4,4,0,1065
3,0,1,2,5,1065
3,0,1,6,2,1065
3,2,8,0,1,1065
4,3,3,1,2,1065
4,7,1,0,1,1065
5,0,0,3,4,1065
5,0,0,7,1,1065
5,2,7,1,0,1065
6,3,2,2,1,1065
6,7,0,1,0,1065
8,3,1,3,0,1065
0,0,1,1,7,1066
0,0,1,5,4,1066
0,0,1,9,1,1066
0,2,8,3,0,1066
1,3,3,0,4,1066
1,3,3,4,1,1066
1,7,1,3,0,1066
2,0,0,2,6,1066
2,0,0,6,3,1066
2,2,7,0,2,1066
3,3,2,1,3,1066
3,3,2,5,0,1066
3,7,0,0,2,1066
4,2,6,1,1,1066
4,6,4,0,0,1066
5,3,1,2,2,1066
6,2,5,2,0,1066
7,3,0,3,1,1066
0,3,2,0,5,1067
0,3,2,4,2,1067
0,7,0,3,1,1067
1,2,6,0,3,1067
1,2,6,4,0,1067
2,3,1,1,4,1067
2,3,1,5,1,1067
3,2,5,1,2,1067
3,6,3,0,1,1067
4,1,9,1,0,1067
4,3,0,2,3,1067
4,3,0,6,0,1067
5,2,4,2,1,1067
5,6,2,1,0,1067
7,2,3,3,0,1067
9,2,2,0,2,1067
0,2,5,0,4,1068
0,2,5,4,1,1068
0,6,3,3,0,1068
1,1,9,0,2,1068
1,3,0,1,5,1068
1,3,0,5,2,1068
2,2,4,1,3,1068
2,2,4,5,0,1068
2,6,2,0,2,1068
3,1,8,1,1,1068
3,5,6,0,0,1068
4,2,3,2,2,1068
4,6,1,1,1,1068
5,1,7,2,0,1068
6,2,2,3,1,1068
6,6,0,2,0,1068
8,2,1,0,3,1068
8,2,1,4,0,1068
9,1,5,0,1,1068
0,1,8,0,3,1069
0,1,8,4,0,1069
1,2,3,1,4,1069
1,2,3,5,1,1069
1,6,1,0,3,1069
1,6,1,4,0,1069
2,1,7,1,2,1069
2,5,5,0,1,1069
3,2,2,2,3,1069
3,2,2,6,0,1069
3,6,0,1,2,1069
4,1,6,2,1,1069
4,5,4,1,0,1069
5,2,1,3,2,1069
6,1,5,3,0,1069
7,2,0,0,4,1069
7,2,0,4,1,1069
8,1,4,0,2,1069
9,0,8,0,0,1069
0,2,2,1,5,1070
0,2,2,5,2,1070
0,6,0,0,4,1070
0,6,0,4,1,1070
1,1,6,1,3,1070
1,1,6,5,0,1070
1,5,4,0,2,1070
2,2,1,2,4,1070
2,2,1,6,1,1070
2,4,8,0,0,1070
3,1,5,2,2,1070
3,5,3,1,1,1070
3,9,1,0,0,1070
4,0,9,2,0,1070
4,2,0,3,3,1070
4,2,0,7,0,1070
5,1,4,3,1,1070
5,5,2,2,0,1070
7,1,3,0,3,1070
7,1,3,4,0,1070
8,0,7,0,1,1070
9,1,2,1,2,1070
9,5,0,0,1,1070
0,1,5,1,4,1071
0,1,5,5,1,1071
0,5,3,0,3,1071
0,5,3,4,0,1071
1,0,9,1,2,1071
1,2,0,2,5,1071
1,2,0,6,2,1071
1,4,7,0,1,1071
2,1,4,2,3,1071
2,1,4,6,0,1071
2,5,2,1,2,1071
2,9,0,0,1,1071
3,0,8,2,1,1071
3,4,6,1,0,1071
4,1,3,3,2,1071
4,5,1,2,1,1071
5,0,7,3,0,1071
6,1,2,0,4,1071
6,1,2,4,1,1071
6,5,0,3,0,1071
7,0,6,0,2,1071
8,1,1,1,3,1071
8,1,1,5,0,1071
9,0,5,1,1,1071
9,4,3,0,0,1071
0,0,8,1,3,1072
0,0,8,5,0,1072
0,4,6,0,2,1072
1,1,3,2,4,1072
1,1,3,6,1,1072
1,5,1,1,3,1072
1,5,1,5,0,1072
2,0,7,2,2,1072
2,4,5,1,1,1072
2,8,3,0,0,1072
3,1,2,3,3,1072
3,1,2,7,0,1072
3,5,0,2,2,1072
4,0,6,3,1,1072
4,4,4,2,0,1072
5,1,1,0,5,1072
5,1,1,4,2,1072
6,0,5,0,3,1072
6,0,5,4,0,1072
7,1,0,1,4,1072
7,1,0,5,1,1072
8,0,4,1,2,1072
8,4,2,0,1,1072
0,1,2,2,5,1073
0,1,2,6,2,1073
0,3,9,0,1,1073
0,5,0,1,4,1073
0,5,0,5,1,1073
1,0,6,2,3,1073
1,0,6,6,0,1073
1,4,4,1,2,1073
1,8,2,0,1,1073
2,1,1,3,4,1073
2,1,1,7,1,1073
2,3,8,1,0,1073
3,0,5,3,2,1073
3,4,3,2,1,1073
3,8,1,1,0,1073
4,1,0,0,6,1073
4,1,0,4,3,1073
4,1,0,8,0,1073
5,0,4,0,4,1073
5,0,4,4,1,1073
5,4,2,3,0,1073
7,0,3,1,3,1073
7,0,3,5,0,1073
7,4,1,0,2,1073
8,3,5,0,0,1073
9,0,2,2,2,1073
9,4,0,1,1,1073
0,0,5,2,4,1074
0,0,5,6,1,1074
0,4,3,1,3,1074
0,4,3,5,0,1074
0,8,1,0,2,1074
1,1,0,3,5,1074
1,1,0,7,2,1074
1,3,7,1,1,1074
1,7,5,0,0,1074
2,0,4,3,3,1074
2,0,4,7,0,1074
2,4,2,2,2,1074
2,8,0,1,1,1074
3,3,6,2,0,1074
4,0,3,0,5,1074
4,0,3,4,2,1074
4,4,1,3,1,1074
6,0,2,1,4,1074
6,0,2,5,1,1074
6,4,0,0,3,1074
6,4,0,4,0,1074
7,3,4,0,1,1074
8,0,1,2,3,1074
8,0,1,6,0,1074
9,3,3,1,0,1074
0,3,6,1,2,1075
0,7,4,0,1,1075
1,0,3,3,4,1075
1,0,3,7,1,1075
1,4,1,2,3,1075
1,4,1,6,0,1075
2,3,5,2,1,1075
2,7,3,1,0,1075
3,0,2,0,6,1075
3,0,2,4,3,1075
3,0,2,8,0,1075
3,4,0,3,2,1075
4,3,4,3,0,1075
5,0,1,1,5,1075
5,0,1,5,2,1075
6,3,3,0,2,1075
7,0,0,2,4,1075
7,0,0,6,1,1075
7,2,7,0,0,1075
8,3,2,1,1,1075
8,7,0,0,0,1075
0,0,2,3,5,1076
0,0,2,7,2,1076
0,2,9,1,1,1076
0,4,0,2,4,1076
0,4,0,6,1,1076
0,6,7,0,0,1076
1,3,4,2,2,1076
1,7,2,1,1,1076
2,0,1,0,7,1076
2,0,1,4,4,1076
2,0,1,8,1,1076
2,2,8,2,0,1076
3,3,3,3,1,1076
3,7,1,2,0,1076
4,0,0,1,6,1076
4,0,0,5,3,1076
4,0,0,9,0,1076
5,3,2,0,3,1076
5,3,2,4,0,1076
6,2,6,0,1,1076
7,3,1,1,2,1076
8,2,5,1,0,1076
9,3,0,2,1,1076
0,3,3,2,3,1077
0,3,3,6,0,1077
0,7,1,1,2,1077
1,0,0,0,8,1077
1,0,0,4,5,1077
1,0,0,8,2,1077
1,2,7,2,1,1077
1,6,5,1,0,1077
2,3,2,3,2,1077
2,7,0,2,1,1077
3,2,6,3,0,1077
4,3,1,0,4,1077
4,3,1,4,1,1077
5,2,5,0,2,1077
6,1,9,0,0,1077
6,3,0,1,3,1077
6,3,0,5,0,1077
7,2,4,1,1,1077
7,6,2,0,0,1077
9,2,3,2,0,1077
0,2,6,2,2,1078
0,6,4,1,1,1078
1,3,1,3,3,1078
1,3,1,7,0,1078
2,2,5,3,1,1078
2,6,3,2,0,1078
3,3,0,0,5,1078
3,3,0,4,2,1078
4,2,4,0,3,1078
4,2,4,4,0,1078
5,1,8,0,1,1078
6,2,3,1,2,1078
6,6,1,0,1,1078
7,1,7,1,0,1078
8,2,2,2,1,1078
8,6,0,1,0,1078
0,1,9,2,1,1079
0,3,0,3,4,1079
0,3,0,7,1,1079
0,5,7,1,0,1079
1,2,4,3,2,1079
1,6,2,2,1,1079
2,1,8,3,0,1079
3,2,3,0,4,1079
3,2,3,4,1,1079
3,6,1,3,0,1079
4,1,7,0,2,1079
5,2,2,1,3,1079
5,2,2,5,0,1079
5,6,0,0,2,1079
6,1,6,1,1,1079
6,5,4,0,0,1079
7,2,1,2,2,1079
8,1,5,2,0,1079
9,2,0,3,1,1079
0,2,3,3,3,1080
0,2,3,7,0,1080
0,6,1,2,2,1080
1,1,7,3,1,1080
1,5,5,2,0,1080
2,2,2,0,5,1080
2,2,2,4,2,1080
2,6,0,3,1,1080
3,1,6,0,3,1080
3,1,6,4,0,1080
4,2,1,1,4,1080
4,2,1,5,1,1080
5,1,5,1,2,1080
5,5,3,0,1,1080
6,0,9,1,0,1080
6,2,0,2,3,1080
6,2,0,6,0,1080
7,1,4,2,1,1080
7,5,2,1,0,1080
9,1,3,3,0,1080
0,1,6,3,2,1081
0,5,4,2,1,1081
0,9,2,1,0,1081
1,2,1,0,6,1081
1,2,1,4,3,1081
1,2,1,8,0,1081
2,1,5,0,4,1081
2,1,5,4,1,1081
2,5,3,3,0,1081
3,0,9,0,2,1081
3,2,0,1,5,1081
3,2,0,5,2,1081
4,1,4,1,3,1081
4,1,4,5,0,1081
4,5,2,0,2,1081
5,0,8,1,1,1081
5,4,6,0,0,1081
6,1,3,2,2,1081
6,5,1,1,1,1081
7,0,7,2,0,1081
8,1,2,3,1,1081
8,5,0,2,0,1081
0,0,9,3,1,1082
0,2,0,0,7,1082
0,2,0,4,4,1082
0,2,0,8,1,1082
0,4,7,2,0,1082
1,1,4,0,5,1082
1,1,4,4,2,1082
1,5,2,3,1,1082
1,9,0,2,0,1082
2,0,8,0,3,1082
2,0,8,4,0,1082
3,1,3,1,4,1082
3,1,3,5,1,1082
3,5,1,0,3,1082
3,5,1,4,0,1082
4,0,7,1,2,1082
4,4,5,0,1,1082
5,1,2,2,3,1082
5,1,2,6,0,1082
5,5,0,1,2,1082
6,0,6,2,1,1082
6,4,4,1,0,1082
7,1,1,3,2,1082
8,0,5,3,0,1082
9,1,0,0,4,1082
9,1,0,4,1,1082
0,1,3,0,6,1083
0,1,3,4,3,1083
0,1,3,8,0,1083
0,5,1,3,2,1083
1,0,7,0,4,1083
1,0,7,4,1,1083
1,4,5,3,0,1083
2,1,2,1,5,1083
2,1,2,5,2,1083
2,5,0,0,4,1083
2,5,0,4,1,1083
3,0,6,1,3,1083
3,0,6,5,0,1083
3,4,4,0,2,1083
4,1,1,2,4,1083
4,1,1,6,1,1083
4,3,8,0,0,1083
5,0,5,2,2,1083
5,4,3,1,1,1083
5,8,1,0,0,1083
6,1,0,3,3,1083
6,1,0,7,0,1083
7,0,4,3,1,1083
7,4,2,2,0,1083
9,0,3,0,3,1083
9,0,3,4,0,1083
0,0,6,0,5,1084
0,0,6,4,2,1084
0,4,4,3,1,1084
0,8,2,2,0,1084
1,1,1,1,6,1084
1,1,1,5,3,1084
1,1,1,9,0,1084
2,0,5,1,4,1084
2,0,5,5,1,1084
2,4,3,0,3,1084
2,4,3,4,0,1084
3,1,0,2,5,1084
3,1,0,6,2,1084
3,3,7,0,1,1084
4,0,4,2,3,1084
4,0,4,6,0,1084
4,4,2,1,2,1084
4,8,0,0,1,1084
5,3,6,1,0,1084
6,0,3,3,2,1084
6,4,1,2,1,1084
8,0,2,0,4,1084
8,0,2,4,1,1084
8,4,0,3,0,1084
0,1,0,1,7,1085
0,1,0,5,4,1085
0,1,0,9,1,1085
0,3,7,3,0,1085
1,0,4,1,5,1085
1,0,4,5,2,1085
1,4,2,0,4,1085
1,4,2,4,1,1085
1,8,0,3,0,1085
2,3,6,0,2,1085
3,0,3,2,4,1085
3,0,3,6,1,1085
3,4,1,1,3,1085
3,4,1,5,0,1085
4,3,5,1,1,1085
4,7,3,0,0,1085
5,0,2,3,3,1085
5,0,2,7,0,1085
5,4,0,2,2,1085
6,3,4,2,0,1085
7,0,1,0,5,1085
7,0,1,4,2,1085
9,0,0,1,4,1085
9,0,0,5,1,1085
0,0,3,1,6,1086
0,0,3,5,3,1086
0,0,3,9,0,1086
0,4,1,0,5,1086
0,4,1,4,2,1086
1,3,5,0,3,1086
1,3,5,4,0,1086
2,0,2,2,5,1086
2,0,2,6,2,1086
2,2,9,0,1,1086
2,4,0,1,4,1086
2,4,0,5,1,1086
3,3,4,1,2,1086
3,7,2,0,1,1086
4,0,1,3,4,1086
4,0,1,7,1,1086
4,2,8,1,0,1086
5,3,3,2,1,1086
5,7,1,1,0,1086
6,0,0,0,6,1086
6,0,0,4,3,1086
6,0,0,8,0,1086
7,3,2,3,0,1086
9,3,1,0,2,1086
0,3,4,0,4,1087
0,3,4,4,1,1087
0,7,2,3,0,1087
1,0,1,2,6,1087
1,0,1,6,3,1087
1,2,8,0,2,1087
2,3,3,1,3,1087
2,3,3,5,0,1087
2,7,1,0,2,1087
3,0,0,3,5,1087
3,0,0,7,2,1087
3,2,7,1,1,1087
3,6,5,0,0,1087
4,3,2,2,2,1087
4,7,0,1,1,1087
5,2,6,2,0,1087
6,3,1,3,1,1087
8,3,0,0,3,1087
8,3,0,4,0,1087
9,2,4,0,1,1087
0,0,0,2,7,1088
0,0,0,6,4,1088
0,2,7,0,3,1088
0,2,7,4,0,1088
1,3,2,1,4,1088
1,3,2,5,1,1088
1,7,0,0,3,1088
1,7,0,4,0,1088
2,2,6,1,2,1088
2,6,4,0,1,1088
3,3,1,2,3,1088
3,3,1,6,0,1088
4,2,5,2,1,1088
4,6,3,1,0,1088
5,3,0,3,2,1088
6,2,4,3,0,1088
8,2,3,0,2,1088
9,1,7,0,0,1088
0,3,1,1,5,1089
0,3,1,5,2,1089
1,2,5,1,3,1089
1,2,5,5,0,1089
1,6,3,0,2,1089
2,1,9,1,1,1089
2,3,0,2,4,1089
2,3,0,6,1,1089
2,5,7,0,0,1089
3,2,4,2,2,1089
3,6,2,1,1,1089
4,1,8,2,0,1089
5,2,3,3,1,1089
5,6,1,2,0,1089
7,2,2,0,3,1089
7,2,2,4,0,1089
8,1,6,0,1,1089
9,2,1,1,2,1089
0,2,4,1,4,1090
0,2,4,5,1,1090
0,6,2,0,3,1090
0,6,2,4,0,1090
1,1,8,1,2,1090
1,5,6,0,1,1090
2,2,3,2,3,1090
2,2,3,6,0,1090
2,6,1,1,2,1090
3,1,7,2,1,1090
3,5,5,1,0,1090
4,2,2,3,2,1090
4,6,0,2,1,1090
5,1,6,3,0,1090
6,2,1,0,4,1090
6,2,1,4,1,1090
7,1,5,0,2,1090
8,0,9,0,0,1090
8,2,0,1,3,1090
8,2,0,5,0,1090
9,1,4,1,1,1090
9,5,2,0,0,1090
0,1,7,1,3,1091
0,1,7,5,0,1091
0,5,5,0,2,1091
1,2,2,2,4,1091
1,2,2,6,1,1091
1,4,9,0,0,1091
1,6,0,1,3,1091
1,6,0,5,0,1091
2,1,6,2,2,1091
2,5,4,1,1,1091
2,9,2,0,0,1091
3,2,1,3,3,1091
3,2,1,7,0,1091
4,1,5,3,1,1091
4,5,3,2,0,1091
5,2,0,0,5,1091
5,2,0,4,2,1091
