2M,4M,6M,MM,
0,5,2,0,2000880
1,4,1,1,2000880
2,3,0,2,2000880
0,6,0,1,2000882
7,0,1,0,2000884
0,0,1,5,2000885
6,2,0,0,2000886
2,0,5,0,2000889
1,2,4,0,2000891
2,1,3,1,2000891
3,0,2,2,2000891
0,4,3,0,2000893
1,3,2,1,2000893
2,2,1,2,2000893
3,1,0,3,2000893
0,5,1,1,2000895
1,4,0,2,2000895
6,1,1,0,2000899
7,0,0,1,2000899
0,0,0,6,2000900
5,3,0,0,2000901
1,1,5,0,2000904
2,0,4,1,2000904
0,3,4,0,2000906
1,2,3,1,2000906
2,1,2,2,2000906
3,0,1,3,2000906
0,4,2,1,2000908
1,3,1,2,2000908
2,2,0,3,2000908
0,5,0,2,2000910
6,0,2,0,2000912
5,2,1,0,2000914
6,1,0,1,2000914
4,4,0,0,2000916
1,0,6,0,2000917
0,2,5,0,2000919
1,1,4,1,2000919
2,0,3,2,2000919
0,3,3,1,2000921
1,2,2,2,2000921
2,1,1,3,2000921
3,0,0,4,2000921
0,4,1,2,2000923
1,3,0,3,2000923
5,1,2,0,2000927
6,0,1,1,2000927
4,3,1,0,2000929
5,2,0,1,2000929
3,5,0,0,2000931
0,1,6,0,2000932
1,0,5,1,2000932
0,2,4,1,2000934
1,1,3,2,2000934
2,0,2,3,2000934
0,3,2,2,2000936
1,2,1,3,2000936
2,1,0,4,2000936
0,4,0,3,2000938
5,0,3,0,2000940
4,2,2,0,2000942
5,1,1,1,2000942
6,0,0,2,2000942
3,4,1,0,2000944
4,3,0,1,2000944
0,0,7,0,2000945
2,6,0,0,2000946
0,1,5,1,2000947
1,0,4,2,2000947
0,2,3,2,2000949
1,1,2,3,2000949
2,0,1,4,2000949
0,3,1,3,2000951
1,2,0,4,2000951
4,1,3,0,2000955
5,0,2,1,2000955
3,3,2,0,2000957
4,2,1,1,2000957
5,1,0,2,2000957
2,5,1,0,2000959
3,4,0,1,2000959
0,0,6,1,2000960
1,7,0,0,2000961
0,1,4,2,2000962
1,0,3,3,2000962
9,0,0,0,2000963
0,2,2,3,2000964
1,1,1,4,2000964
2,0,0,5,2000964
0,3,0,4,2000966
4,0,4,0,2000968
3,2,3,0,2000970
4,1,2,1,2000970
5,0,1,2,2000970
2,4,2,0,2000972
3,3,1,1,2000972
4,2,0,2,2000972
1,6,1,0,2000974
2,5,0,1,2000974
0,0,5,2,2000975
0,8,0,0,2000976
0,1,3,3,2000977
1,0,2,4,2000977
8,1,0,0,2000978
0,2,1,4,2000979
1,1,0,5,2000979
3,1,4,0,2000983
4,0,3,1,2000983
2,3,3,0,2000985
3,2,2,1,2000985
4,1,1,2,2000985
5,0,0,3,2000985
1,5,2,0,2000987
2,4,1,1,2000987
3,3,0,2,2000987
0,7,1,0,2000989
1,6,0,1,2000989
0,0,4,3,2000990
8,0,1,0,2000991
0,1,2,4,2000992
1,0,1,5,2000992
7,2,0,0,2000993
0,2,0,5,2000994
3,0,5,0,2000996
2,2,4,0,2000998
3,1,3,1,2000998
4,0,2,2,2000998
1,4,3,0,2001000
2,3,2,1,2001000
3,2,1,2,2001000
4,1,0,3,2001000
0,6,2,0,2001002
1,5,1,1,2001002
2,4,0,2,2001002
0,7,0,1,2001004
0,0,3,4,2001005
7,1,1,0,2001006
8,0,0,1,2001006
0,1,1,5,2001007
1,0,0,6,2001007
6,3,0,0,2001008
2,1,5,0,2001011
3,0,4,1,2001011
1,3,4,0,2001013
2,2,3,1,2001013
3,1,2,2,2001013
4,0,1,3,2001013
0,5,3,0,2001015
1,4,2,1,2001015
2,3,1,2,2001015
3,2,0,3,2001015
0,6,1,1,2001017
1,5,0,2,2001017
7,0,2,0,2001019
0,0,2,5,2001020
6,2,1,0,2001021
7,1,0,1,2001021
0,1,0,6,2001022
5,4,0,0,2001023
2,0,6,0,2001024
1,2,5,0,2001026
2,1,4,1,2001026
3,0,3,2,2001026
0,4,4,0,2001028
1,3,3,1,2001028
2,2,2,2,2001028
3,1,1,3,2001028
4,0,0,4,2001028
0,5,2,1,2001030
1,4,1,2,2001030
2,3,0,3,2001030
0,6,0,2,2001032
6,1,2,0,2001034
7,0,1,1,2001034
0,0,1,6,2001035
5,3,1,0,2001036
6,2,0,1,2001036
4,5,0,0,2001038
1,1,6,0,2001039
2,0,5,1,2001039
0,3,5,0,2001041
1,2,4,1,2001041
2,1,3,2,2001041
3,0,2,3,2001041
0,4,3,1,2001043
1,3,2,2,2001043
2,2,1,3,2001043
3,1,0,4,2001043
0,5,1,2,2001045
1,4,0,3,2001045
6,0,3,0,2001047
5,2,2,0,2001049
6,1,1,1,2001049
7,0,0,2,2001049
0,0,0,7,2001050
4,4,1,0,2001051
5,3,0,1,2001051
1,0,7,0,2001052
3,6,0,0,2001053
0,2,6,0,2001054
1,1,5,1,2001054
2,0,4,2,2001054
0,3,4,1,2001056
1,2,3,2,2001056
2,1,2,3,2001056
3,0,1,4,2001056
0,4,2,2,2001058
1,3,1,3,2001058
2,2,0,4,2001058
0,5,0,3,2001060
5,1,3,0,2001062
6,0,2,1,2001062
4,3,2,0,2001064
5,2,1,1,2001064
6,1,0,2,2001064
3,5,1,0,2001066
4,4,0,1,2001066
0,1,7,0,2001067
1,0,6,1,2001067
2,7,0,0,2001068
0,2,5,1,2001069
1,1,4,2,2001069
2,0,3,3,2001069
0,3,3,2,2001071
1,2,2,3,2001071
2,1,1,4,2001071
3,0,0,5,2001071
0,4,1,3,2001073
1,3,0,4,2001073
5,0,4,0,2001075
4,2,3,0,2001077
5,1,2,1,2001077
6,0,1,2,2001077
3,4,2,0,2001079
4,3,1,1,2001079
5,2,0,2,2001079
0,0,8,0,2001080
2,6,1,0,2001081
3,5,0,1,2001081
0,1,6,1,2001082
1,0,5,2,2001082
1,8,0,0,2001083
0,2,4,2,2001084
1,1,3,3,2001084
2,0,2,4,2001084
9,1,0,0,2001085
0,3,2,3,2001086
1,2,1,4,2001086
2,1,0,5,2001086
0,4,0,4,2001088
4,1,4,0,2001090
5,0,3,1,2001090
3,3,3,0,2001092
4,2,2,1,2001092
5,1,1,2,2001092
6,0,0,3,2001092
2,5,2,0,2001094
3,4,1,1,2001094
4,3,0,2,2001094
0,0,7,1,2001095
1,7,1,0,2001096
2,6,0,1,2001096
0,1,5,2,2001097
1,0,4,3,2001097
0,9,0,0,2001098
9,0,1,0,2001098
0,2,3,3,2001099
1,1,2,4,2001099
2,0,1,5,2001099
8,2,0,0,2001100
0,3,1,4,2001101
1,2,0,5,2001101
4,0,5,0,2001103
3,2,4,0,2001105
4,1,3,1,2001105
5,0,2,2,2001105
2,4,3,0,2001107
3,3,2,1,2001107
4,2,1,2,2001107
5,1,0,3,2001107
1,6,2,0,2001109
2,5,1,1,2001109
3,4,0,2,2001109
0,0,6,2,2001110
0,8,1,0,2001111
1,7,0,1,2001111
0,1,4,3,2001112
1,0,3,4,2001112
8,1,1,0,2001113
9,0,0,1,2001113
0,2,2,4,2001114
1,1,1,5,2001114
2,0,0,6,2001114
7,3,0,0,2001115
0,3,0,5,2001116
3,1,5,0,2001118
4,0,4,1,2001118
2,3,4,0,2001120
3,2,3,1,2001120
4,1,2,2,2001120
5,0,1,3,2001120
1,5,3,0,2001122
2,4,2,1,2001122
3,3,1,2,2001122
4,2,0,3,2001122
0,7,2,0,2001124
1,6,1,1,2001124
2,5,0,2,2001124
0,0,5,3,2001125
8,0,2,0,2001126
0,8,0,1,2001126
0,1,3,4,2001127
1,0,2,5,2001127
7,2,1,0,2001128
8,1,0,1,2001128
0,2,1,5,2001129
1,1,0,6,2001129
6,4,0,0,2001130
3,0,6,0,2001131
2,2,5,0,2001133
3,1,4,1,2001133
4,0,3,2,2001133
1,4,4,0,2001135
2,3,3,1,2001135
3,2,2,2,2001135
4,1,1,3,2001135
5,0,0,4,2001135
0,6,3,0,2001137
1,5,2,1,2001137
2,4,1,2,2001137
3,3,0,3,2001137
0,7,1,1,2001139
1,6,0,2,2001139
0,0,4,4,2001140
7,1,2,0,2001141
8,0,1,1,2001141
0,1,2,5,2001142
1,0,1,6,2001142
6,3,1,0,2001143
7,2,0,1,2001143
0,2,0,6,2001144
5,5,0,0,2001145
2,1,6,0,2001146
3,0,5,1,2001146
1,3,5,0,2001148
2,2,4,1,2001148
3,1,3,2,2001148
4,0,2,3,2001148
0,5,4,0,2001150
1,4,3,1,2001150
2,3,2,2,2001150
3,2,1,3,2001150
4,1,0,4,2001150
0,6,2,1,2001152
1,5,1,2,2001152
2,4,0,3,2001152
7,0,3,0,2001154
0,7,0,2,2001154
0,0,3,5,2001155
6,2,2,0,2001156
7,1,1,1,2001156
8,0,0,2,2001156
0,1,1,6,2001157
1,0,0,7,2001157
5,4,1,0,2001158
6,3,0,1,2001158
2,0,7,0,2001159
4,6,0,0,2001160
1,2,6,0,2001161
2,1,5,1,2001161
3,0,4,2,2001161
0,4,5,0,2001163
1,3,4,1,2001163
2,2,3,2,2001163
3,1,2,3,2001163
4,0,1,4,2001163
0,5,3,1,2001165
1,4,2,2,2001165
2,3,1,3,2001165
3,2,0,4,2001165
0,6,1,2,2001167
1,5,0,3,2001167
6,1,3,0,2001169
7,0,2,1,2001169
0,0,2,6,2001170
5,3,2,0,2001171
6,2,1,1,2001171
7,1,0,2,2001171
0,1,0,7,2001172
4,5,1,0,2001173
5,4,0,1,2001173
1,1,7,0,2001174
2,0,6,1,2001174
3,7,0,0,2001175
0,3,6,0,2001176
1,2,5,1,2001176
2,1,4,2,2001176
3,0,3,3,2001176
0,4,4,1,2001178
1,3,3,2,2001178
2,2,2,3,2001178
3,1,1,4,2001178
4,0,0,5,2001178
0,5,2,2,2001180
1,4,1,3,2001180
2,3,0,4,2001180
6,0,4,0,2001182
0,6,0,3,2001182
5,2,3,0,2001184
6,1,2,1,2001184
7,0,1,2,2001184
0,0,1,7,2001185
4,4,2,0,2001186
5,3,1,1,2001186
6,2,0,2,2001186
1,0,8,0,2001187
3,6,1,0,2001188
4,5,0,1,2001188
0,2,7,0,2001189
1,1,6,1,2001189
2,0,5,2,2001189
2,8,0,0,2001190
0,3,5,1,2001191
1,2,4,2,2001191
2,1,3,3,2001191
3,0,2,4,2001191
0,4,3,2,2001193
1,3,2,3,2001193
2,2,1,4,2001193
3,1,0,5,2001193
0,5,1,3,2001195
1,4,0,4,2001195
5,1,4,0,2001197
6,0,3,1,2001197
4,3,3,0,2001199
5,2,2,1,2001199
6,1,1,2,2001199
7,0,0,3,2001199
0,0,0,8,2001200
3,5,2,0,2001201
4,4,1,1,2001201
5,3,0,2,2001201
0,1,8,0,2001202
1,0,7,1,2001202
2,7,1,0,2001203
3,6,0,1,2001203
0,2,6,1,2001204
1,1,5,2,2001204
2,0,4,3,2001204
1,9,0,0,2001205
0,3,4,2,2001206
1,2,3,3,2001206
2,1,2,4,2001206
3,0,1,5,2001206
9,2,0,0,2001207
0,4,2,3,2001208
1,3,1,4,2001208
2,2,0,5,2001208
5,0,5,0,2001210
0,5,0,4,2001210
4,2,4,0,2001212
5,1,3,1,2001212
6,0,2,2,2001212
3,4,3,0,2001214
4,3,2,1,2001214
5,2,1,2,2001214
6,1,0,3,2001214
0,0,9,0,2001215
2,6,2,0,2001216
3,5,1,1,2001216
4,4,0,2,2001216
0,1,7,1,2001217
1,0,6,2,2001217
1,8,1,0,2001218
2,7,0,1,2001218
0,2,5,2,2001219
1,1,4,3,2001219
2,0,3,4,2001219
9,1,1,0,2001220
0,3,3,3,2001221
1,2,2,4,2001221
2,1,1,5,2001221
3,0,0,6,2001221
8,3,0,0,2001222
0,4,1,4,2001223
1,3,0,5,2001223
4,1,5,0,2001225
5,0,4,1,2001225
3,3,4,0,2001227
4,2,3,1,2001227
5,1,2,2,2001227
6,0,1,3,2001227
2,5,3,0,2001229
3,4,2,1,2001229
4,3,1,2,2001229
5,2,0,3,2001229
0,0,8,1,2001230
1,7,2,0,2001231
2,6,1,1,2001231
3,5,0,2,2001231
0,1,6,2,2001232
1,0,5,3,2001232
0,9,1,0,2001233
9,0,2,0,2001233
1,8,0,1,2001233
0,2,4,3,2001234
1,1,3,4,2001234
2,0,2,5,2001234
8,2,1,0,2001235
9,1,0,1,2001235
0,3,2,4,2001236
1,2,1,5,2001236
2,1,0,6,2001236
7,4,0,0,2001237
4,0,6,0,2001238
0,4,0,5,2001238
3,2,5,0,2001240
4,1,4,1,2001240
5,0,3,2,2001240
2,4,4,0,2001242
3,3,3,1,2001242
4,2,2,2,2001242
5,1,1,3,2001242
6,0,0,4,2001242
1,6,3,0,2001244
2,5,2,1,2001244
3,4,1,2,2001244
4,3,0,3,2001244
0,0,7,2,2001245
0,8,2,0,2001246
1,7,1,1,2001246
2,6,0,2,2001246
0,1,5,3,2001247
1,0,4,4,2001247
8,1,2,0,2001248
0,9,0,1,2001248
9,0,1,1,2001248
0,2,3,4,2001249
1,1,2,5,2001249
2,0,1,6,2001249
7,3,1,0,2001250
8,2,0,1,2001250
0,3,1,5,2001251
1,2,0,6,2001251
6,5,0,0,2001252
3,1,6,0,2001253
4,0,5,1,2001253
2,3,5,0,2001255
3,2,4,1,2001255
4,1,3,2,2001255
5,0,2,3,2001255
1,5,4,0,2001257
2,4,3,1,2001257
3,3,2,2,2001257
4,2,1,3,2001257
5,1,0,4,2001257
0,7,3,0,2001259
1,6,2,1,2001259
2,5,1,2,2001259
3,4,0,3,2001259
0,0,6,3,2001260
8,0,3,0,2001261
0,8,1,1,2001261
1,7,0,2,2001261
0,1,4,4,2001262
1,0,3,5,2001262
7,2,2,0,2001263
8,1,1,1,2001263
9,0,0,2,2001263
0,2,2,5,2001264
1,1,1,6,2001264
2,0,0,7,2001264
6,4,1,0,2001265
7,3,0,1,2001265
3,0,7,0,2001266
0,3,0,6,2001266
5,6,0,0,2001267
2,2,6,0,2001268
3,1,5,1,2001268
4,0,4,2,2001268
1,4,5,0,2001270
2,3,4,1,2001270
3,2,3,2,2001270
4,1,2,3,2001270
5,0,1,4,2001270
0,6,4,0,2001272
1,5,3,1,2001272
2,4,2,2,2001272
3,3,1,3,2001272
4,2,0,4,2001272
0,7,2,1,2001274
1,6,1,2,2001274
2,5,0,3,2001274
0,0,5,4,2001275
7,1,3,0,2001276
8,0,2,1,2001276
0,8,0,2,2001276
0,1,3,5,2001277
1,0,2,6,2001277
6,3,2,0,2001278
7,2,1,1,2001278
8,1,0,2,2001278
0,2,1,6,2001279
1,1,0,7,2001279
5,5,1,0,2001280
6,4,0,1,2001280
2,1,7,0,2001281
3,0,6,1,2001281
4,7,0,0,2001282
1,3,6,0,2001283
2,2,5,1,2001283
3,1,4,2,2001283
4,0,3,3,2001283
0,5,5,0,2001285
1,4,4,1,2001285
2,3,3,2,2001285
3,2,2,3,2001285
4,1,1,4,2001285
5,0,0,5,2001285
0,6,3,1,2001287
1,5,2,2,2001287
2,4,1,3,2001287
3,3,0,4,2001287
7,0,4,0,2001289
0,7,1,2,2001289
1,6,0,3,2001289
0,0,4,5,2001290
6,2,3,0,2001291
7,1,2,1,2001291
8,0,1,2,2001291
0,1,2,6,2001292
1,0,1,7,2001292
5,4,2,0,2001293
6,3,1,1,2001293
7,2,0,2,2001293
2,0,8,0,2001294
0,2,0,7,2001294
4,6,1,0,2001295
5,5,0,1,2001295
1,2,7,0,2001296
2,1,6,1,2001296
3,0,5,2,2001296
3,8,0,0,2001297
0,4,6,0,2001298
1,3,5,1,2001298
2,2,4,2,2001298
3,1,3,3,2001298
4,0,2,4,2001298
0,5,4,1,2001300
1,4,3,2,2001300
2,3,2,3,2001300
3,2,1,4,2001300
4,1,0,5,2001300
0,6,2,2,2001302
1,5,1,3,2001302
2,4,0,4,2001302
6,1,4,0,2001304
7,0,3,1,2001304
0,7,0,3,2001304
0,0,3,6,2001305
5,3,3,0,2001306
6,2,2,1,2001306
7,1,1,2,2001306
8,0,0,3,2001306
0,1,1,7,2001307
1,0,0,8,2001307
4,5,2,0,2001308
5,4,1,1,2001308
6,3,0,2,2001308
1,1,8,0,2001309
2,0,7,1,2001309
3,7,1,0,2001310
4,6,0,1,2001310
0,3,7,0,2001311
1,2,6,1,2001311
2,1,5,2,2001311
3,0,4,3,2001311
2,9,0,0,2001312
0,4,5,1,2001313
1,3,4,2,2001313
2,2,3,3,2001313
3,1,2,4,2001313
4,0,1,5,2001313
0,5,3,2,2001315
1,4,2,3,2001315
2,3,1,4,2001315
3,2,0,5,2001315
6,0,5,0,2001317
0,6,1,3,2001317
1,5,0,4,2001317
5,2,4,0,2001319
6,1,3,1,2001319
7,0,2,2,2001319
0,0,2,7,2001320
4,4,3,0,2001321
5,3,2,1,2001321
6,2,1,2,2001321
7,1,0,3,2001321
1,0,9,0,2001322
0,1,0,8,2001322
3,6,2,0,2001323
4,5,1,1,2001323
5,4,0,2,2001323
0,2,8,0,2001324
1,1,7,1,2001324
2,0,6,2,2001324
2,8,1,0,2001325
3,7,0,1,2001325
0,3,6,1,2001326
1,2,5,2,2001326
2,1,4,3,2001326
3,0,3,4,2001326
0,4,4,2,2001328
1,3,3,3,2001328
2,2,2,4,2001328
3,1,1,5,2001328
4,0,0,6,2001328
9,3,0,0,2001329
0,5,2,3,2001330
1,4,1,4,2001330
2,3,0,5,2001330
5,1,5,0,2001332
6,0,4,1,2001332
0,6,0,4,2001332
4,3,4,0,2001334
5,2,3,1,2001334
6,1,2,2,2001334
7,0,1,3,2001334
0,0,1,8,2001335
3,5,3,0,2001336
4,4,2,1,2001336
5,3,1,2,2001336
6,2,0,3,2001336
0,1,9,0,2001337
1,0,8,1,2001337
2,7,2,0,2001338
3,6,1,1,2001338
4,5,0,2,2001338
0,2,7,1,2001339
1,1,6,2,2001339
2,0,5,3,2001339
1,9,1,0,2001340
2,8,0,1,2001340
0,3,5,2,2001341
1,2,4,3,2001341
2,1,3,4,2001341
3,0,2,5,2001341
9,2,1,0,2001342
0,4,3,3,2001343
1,3,2,4,2001343
2,2,1,5,2001343
3,1,0,6,2001343
8,4,0,0,2001344
5,0,6,0,2001345
0,5,1,4,2001345
1,4,0,5,2001345
4,2,5,0,2001347
5,1,4,1,2001347
6,0,3,2,2001347
3,4,4,0,2001349
4,3,3,1,2001349
5,2,2,2,2001349
6,1,1,3,2001349
7,0,0,4,2001349
0,0,0,9,2001350
2,6,3,0,2001351
3,5,2,1,2001351
4,4,1,2,2001351
5,3,0,3,2001351
0,1,8,1,2001352
1,0,7,2,2001352
1,8,2,0,2001353
2,7,1,1,2001353
3,6,0,2,2001353
0,2,6,2,2001354
1,1,5,3,2001354
2,0,4,4,2001354
9,1,2,0,2001355
1,9,0,1,2001355
0,3,4,3,2001356
1,2,3,4,2001356
2,1,2,5,2001356
3,0,1,6,2001356
8,3,1,0,2001357
9,2,0,1,2001357
0,4,2,4,2001358
1,3,1,5,2001358
2,2,0,6,2001358
7,5,0,0,2001359
4,1,6,0,2001360
5,0,5,1,2001360
0,5,0,5,2001360
3,3,5,0,2001362
4,2,4,1,2001362
5,1,3,2,2001362
6,0,2,3,2001362
2,5,4,0,2001364
3,4,3,1,2001364
4,3,2,2,2001364
5,2,1,3,2001364
6,1,0,4,2001364
0,0,9,1,2001365
1,7,3,0,2001366
2,6,2,1,2001366
3,5,1,2,2001366
4,4,0,3,2001366
0,1,7,2,2001367
1,0,6,3,2001367
0,9,2,0,2001368
9,0,3,0,2001368
1,8,1,1,2001368
2,7,0,2,2001368
0,2,5,3,2001369
1,1,4,4,2001369
2,0,3,5,2001369
8,2,2,0,2001370
9,1,1,1,2001370
0,3,3,4,2001371
1,2,2,5,2001371
2,1,1,6,2001371
3,0,0,7,2001371
7,4,1,0,2001372
8,3,0,1,2001372
4,0,7,0,2001373
0,4,1,5,2001373
1,3,0,6,2001373
6,6,0,0,2001374
3,2,6,0,2001375
4,1,5,1,2001375
5,0,4,2,2001375
2,4,5,0,2001377
3,3,4,1,2001377
4,2,3,2,2001377
5,1,2,3,2001377
6,0,1,4,2001377
1,6,4,0,2001379
2,5,3,1,2001379
3,4,2,2,2001379
4,3,1,3,2001379
5,2,0,4,2001379
0,0,8,2,2001380
0,8,3,0,2001381
1,7,2,1,2001381
2,6,1,2,2001381
3,5,0,3,2001381
0,1,6,3,2001382
1,0,5,4,2001382
8,1,3,0,2001383
0,9,1,1,2001383
9,0,2,1,2001383
1,8,0,2,2001383
0,2,4,4,2001384
1,1,3,5,2001384
2,0,2,6,2001384
7,3,2,0,2001385
8,2,1,1,2001385
9,1,0,2,2001385
0,3,2,5,2001386
1,2,1,6,2001386
2,1,0,7,2001386
6,5,1,0,2001387
7,4,0,1,2001387
3,1,7,0,2001388
4,0,6,1,2001388
0,4,0,6,2001388
5,7,0,0,2001389
2,3,6,0,2001390
3,2,5,1,2001390
4,1,4,2,2001390
5,0,3,3,2001390
1,5,5,0,2001392
2,4,4,1,2001392
3,3,3,2,2001392
4,2,2,3,2001392
5,1,1,4,2001392
6,0,0,5,2001392
0,7,4,0,2001394
1,6,3,1,2001394
2,5,2,2,2001394
3,4,1,3,2001394
4,3,0,4,2001394
0,0,7,3,2001395
8,0,4,0,2001396
0,8,2,1,2001396
1,7,1,2,2001396
2,6,0,3,2001396
0,1,5,4,2001397
1,0,4,5,2001397
7,2,3,0,2001398
8,1,2,1,2001398
0,9,0,2,2001398
9,0,1,2,2001398
0,2,3,5,2001399
1,1,2,6,2001399
2,0,1,7,2001399
6,4,2,0,2001400
7,3,1,1,2001400
8,2,0,2,2001400
3,0,8,0,2001401
0,3,1,6,2001401
1,2,0,7,2001401
5,6,1,0,2001402
6,5,0,1,2001402
2,2,7,0,2001403
3,1,6,1,2001403
4,0,5,2,2001403
4,8,0,0,2001404
1,4,6,0,2001405
2,3,5,1,2001405
3,2,4,2,2001405
4,1,3,3,2001405
5,0,2,4,2001405
0,6,5,0,2001407
1,5,4,1,2001407
2,4,3,2,2001407
3,3,2,3,2001407
4,2,1,4,2001407
5,1,0,5,2001407
0,7,3,1,2001409
1,6,2,2,2001409
2,5,1,3,2001409
3,4,0,4,2001409
0,0,6,4,2001410
7,1,4,0,2001411
8,0,3,1,2001411
0,8,1,2,2001411
1,7,0,3,2001411
0,1,4,5,2001412
1,0,3,6,2001412
6,3,3,0,2001413
7,2,2,1,2001413
8,1,1,2,2001413
9,0,0,3,2001413
0,2,2,6,2001414
1,1,1,7,2001414
2,0,0,8,2001414
5,5,2,0,2001415
6,4,1,1,2001415
7,3,0,2,2001415
2,1,8,0,2001416
3,0,7,1,2001416
0,3,0,7,2001416
4,7,1,0,2001417
5,6,0,1,2001417
1,3,7,0,2001418
2,2,6,1,2001418
3,1,5,2,2001418
4,0,4,3,2001418
3,9,0,0,2001419
0,5,6,0,2001420
1,4,5,1,2001420
2,3,4,2,2001420
3,2,3,3,2001420
4,1,2,4,2001420
5,0,1,5,2001420
0,6,4,1,2001422
1,5,3,2,2001422
2,4,2,3,2001422
3,3,1,4,2001422
4,2,0,5,2001422
7,0,5,0,2001424
0,7,2,2,2001424
1,6,1,3,2001424
2,5,0,4,2001424
0,0,5,5,2001425
6,2,4,0,2001426
7,1,3,1,2001426
8,0,2,2,2001426
0,8,0,3,2001426
0,1,3,6,2001427
1,0,2,7,2001427
5,4,3,0,2001428
6,3,2,1,2001428
7,2,1,2,2001428
8,1,0,3,2001428
2,0,9,0,2001429
0,2,1,7,2001429
1,1,0,8,2001429
4,6,2,0,2001430
5,5,1,1,2001430
6,4,0,2,2001430
1,2,8,0,2001431
2,1,7,1,2001431
3,0,6,2,2001431
3,8,1,0,2001432
4,7,0,1,2001432
0,4,7,0,2001433
1,3,6,1,2001433
2,2,5,2,2001433
3,1,4,3,2001433
4,0,3,4,2001433
0,5,5,1,2001435
1,4,4,2,2001435
2,3,3,3,2001435
3,2,2,4,2001435
4,1,1,5,2001435
5,0,0,6,2001435
0,6,3,2,2001437
1,5,2,3,2001437
2,4,1,4,2001437
3,3,0,5,2001437
6,1,5,0,2001439
7,0,4,1,2001439
0,7,1,3,2001439
1,6,0,4,2001439
0,0,4,6,2001440
5,3,4,0,2001441
6,2,3,1,2001441
7,1,2,2,2001441
8,0,1,3,2001441
0,1,2,7,2001442
1,0,1,8,2001442
4,5,3,0,2001443
5,4,2,1,2001443
6,3,1,2,2001443
7,2,0,3,2001443
1,1,9,0,2001444
2,0,8,1,2001444
0,2,0,8,2001444
3,7,2,0,2001445
4,6,1,1,2001445
5,5,0,2,2001445
0,3,8,0,2001446
1,2,7,1,2001446
2,1,6,2,2001446
3,0,5,3,2001446
2,9,1,0,2001447
3,8,0,1,2001447
0,4,6,1,2001448
1,3,5,2,2001448
2,2,4,3,2001448
3,1,3,4,2001448
4,0,2,5,2001448
0,5,4,2,2001450
1,4,3,3,2001450
2,3,2,4,2001450
3,2,1,5,2001450
4,1,0,6,2001450
9,4,0,0,2001451
6,0,6,0,2001452
0,6,2,3,2001452
1,5,1,4,2001452
2,4,0,5,2001452
5,2,5,0,2001454
6,1,4,1,2001454
7,0,3,2,2001454
0,7,0,4,2001454
0,0,3,7,2001455
4,4,4,0,2001456
5,3,3,1,2001456
6,2,2,2,2001456
7,1,1,3,2001456
8,0,0,4,2001456
0,1,1,8,2001457
1,0,0,9,2001457
3,6,3,0,2001458
4,5,2,1,2001458
5,4,1,2,2001458
6,3,0,3,2001458
0,2,9,0,2001459
1,1,8,1,2001459
2,0,7,2,2001459
2,8,2,0,2001460
3,7,1,1,2001460
4,6,0,2,2001460
0,3,7,1,2001461
1,2,6,2,2001461
2,1,5,3,2001461
3,0,4,4,2001461
2,9,0,1,2001462
0,4,5,2,2001463
1,3,4,3,2001463
2,2,3,4,2001463
3,1,2,5,2001463
4,0,1,6,2001463
9,3,1,0,2001464
0,5,3,3,2001465
1,4,2,4,2001465
2,3,1,5,2001465
3,2,0,6,2001465
8,5,0,0,2001466
5,1,6,0,2001467
6,0,5,1,2001467
0,6,1,4,2001467
1,5,0,5,2001467
4,3,5,0,2001469
5,2,4,1,2001469
6,1,3,2,2001469
7,0,2,3,2001469
0,0,2,8,2001470
3,5,4,0,2001471
4,4,3,1,2001471
5,3,2,2,2001471
6,2,1,3,2001471
7,1,0,4,2001471
1,0,9,1,2001472
0,1,0,9,2001472
2,7,3,0,2001473
3,6,2,1,2001473
4,5,1,2,2001473
5,4,0,3,2001473
0,2,8,1,2001474
1,1,7,2,2001474
2,0,6,3,2001474
1,9,2,0,2001475
2,8,1,1,2001475
3,7,0,2,2001475
0,3,6,2,2001476
1,2,5,3,2001476
2,1,4,4,2001476
3,0,3,5,2001476
9,2,2,0,2001477
0,4,4,3,2001478
1,3,3,4,2001478
2,2,2,5,2001478
3,1,1,6,2001478
4,0,0,7,2001478
8,4,1,0,2001479
9,3,0,1,2001479
5,0,7,0,2001480
0,5,2,4,2001480
1,4,1,5,2001480
2,3,0,6,2001480
7,6,0,0,2001481
4,2,6,0,2001482
5,1,5,1,2001482
6,0,4,2,2001482
0,6,0,5,2001482
3,4,5,0,2001484
4,3,4,1,2001484
5,2,3,2,2001484
6,1,2,3,2001484
7,0,1,4,2001484
0,0,1,9,2001485
2,6,4,0,2001486
3,5,3,1,2001486
4,4,2,2,2001486
5,3,1,3,2001486
6,2,0,4,2001486
0,1,9,1,2001487
1,0,8,2,2001487
1,8,3,0,2001488
2,7,2,1,2001488
3,6,1,2,2001488
4,5,0,3,2001488
0,2,7,2,2001489
1,1,6,3,2001489
2,0,5,4,2001489
9,1,3,0,2001490
1,9,1,1,2001490
2,8,0,2,2001490
0,3,5,3,2001491
1,2,4,4,2001491
2,1,3,5,2001491
3,0,2,6,2001491
8,3,2,0,2001492
9,2,1,1,2001492
0,4,3,4,2001493
1,3,2,5,2001493
2,2,1,6,2001493
3,1,0,7,2001493
7,5,1,0,2001494
8,4,0,1,2001494
4,1,7,0,2001495
5,0,6,1,2001495
