"ibe","2M","4M","6M","MM"
0,0,6,4,10,2772
0,5,9,4,4,2773
0,6,8,3,5,2773
0,7,7,2,6,2773
0,8,6,1,7,2773
0,9,5,0,8,2773
0,3,4,9,5,2774
0,4,3,8,6,2774
0,5,2,7,7,2774
0,6,1,6,8,2774
0,7,0,5,9,2774
0,9,6,8,0,2775
0,6,9,1,6,2775
0,7,8,0,7,2775
0,1,7,9,4,2776
0,2,6,8,5,2776
0,3,5,7,6,2776
0,4,4,6,7,2776
0,5,3,5,8,2776
0,6,2,4,9,2776
0,7,1,3,10,2776
0,8,8,7,0,2777
0,9,7,6,1,2777
0,0,9,8,4,2778
0,9,0,9,4,2778
0,1,8,7,5,2778
0,2,7,6,6,2778
0,3,6,5,7,2778
0,4,5,4,8,2778
0,5,4,3,9,2778
0,6,3,2,10,2778
0,8,9,5,1,2779
0,9,8,4,2,2779
0,2,0,9,9,2779
0,7,3,9,3,2780
0,8,2,8,4,2780
0,9,1,7,5,2780
0,1,9,5,6,2780
0,2,8,4,7,2780
0,3,7,3,8,2780
0,4,6,2,9,2780
0,5,5,1,10,2780
0,9,9,2,3,2781
0,0,3,9,8,2781
0,1,2,8,9,2781
0,2,1,7,10,2781
0,5,6,9,2,2782
0,6,5,8,3,2782
0,7,4,7,4,2782
0,8,3,6,5,2782
0,9,2,5,6,2782
0,2,9,2,8,2782
0,3,8,1,9,2782
0,4,7,0,10,2782
0,0,4,7,9,2783
0,1,3,6,10,2783
0,3,9,9,1,2784
0,4,8,8,2,2784
0,5,7,7,3,2784
0,6,6,6,4,2784
0,7,5,5,5,2784
0,8,4,4,6,2784
0,9,3,3,7,2784
0,0,5,5,10,2785
0,4,9,6,3,2786
0,5,8,5,4,2786
0,6,7,4,5,2786
0,7,6,3,6,2786
0,8,5,2,7,2786
0,9,4,1,8,2786
0,4,2,9,6,2787
0,5,1,8,7,2787
0,6,0,7,8,2787
0,9,5,9,0,2788
0,5,9,3,5,2788
0,6,8,2,6,2788
0,7,7,1,7,2788
0,8,6,0,8,2788
0,2,5,9,5,2789
0,3,4,8,6,2789
0,4,3,7,7,2789
0,5,2,6,8,2789
0,6,1,5,9,2789
0,7,0,4,10,2789
0,8,7,8,0,2790
0,9,6,7,1,2790
0,6,9,0,7,2790
0,0,8,9,4,2791
0,1,7,8,5,2791
0,2,6,7,6,2791
0,3,5,6,7,2791
0,4,4,5,8,2791
0,5,3,4,9,2791
0,6,2,3,10,2791
0,7,9,7,0,2792
0,8,8,6,1,2792
0,9,7,5,2,2792
0,8,1,9,4,2793
0,0,9,7,5,2793
0,9,0,8,5,2793
0,1,8,6,6,2793
0,2,7,5,7,2793
0,3,6,4,8,2793
0,4,5,3,9,2793
0,5,4,2,10,2793
0,8,9,4,2,2794
0,9,8,3,3,2794
0,1,1,9,9,2794
0,2,0,8,10,2794
0,6,4,9,3,2795
0,7,3,8,4,2795
0,8,2,7,5,2795
0,9,1,6,6,2795
0,1,9,4,7,2795
0,2,8,3,8,2795
0,3,7,2,9,2795
0,4,6,1,10,2795
0,9,9,1,4,2796
0,0,3,8,9,2796
0,1,2,7,10,2796
0,4,7,9,2,2797
0,5,6,8,3,2797
0,6,5,7,4,2797
0,7,4,6,5,2797
0,8,3,5,6,2797
0,9,2,4,7,2797
0,2,9,1,9,2797
0,3,8,0,10,2797
0,0,4,6,10,2798
0,3,9,8,2,2799
0,4,8,7,3,2799
0,5,7,6,4,2799
0,6,6,5,5,2799
0,7,5,4,6,2799
0,8,4,3,7,2799
0,9,3,2,8,2799
0,5,0,9,7,2800
0,4,9,5,4,2801
0,5,8,4,5,2801
0,6,7,3,6,2801
0,7,6,2,7,2801
0,8,5,1,8,2801
0,9,4,0,9,2801
0,3,3,9,6,2802
0,4,2,8,7,2802
0,5,1,7,8,2802
0,6,0,6,9,2802
0,8,6,9,0,2803
0,9,5,8,1,2803
0,5,9,2,6,2803
0,6,8,1,7,2803
0,7,7,0,8,2803
0,1,6,9,5,2804
0,2,5,8,6,2804
0,3,4,7,7,2804
0,4,3,6,8,2804
0,5,2,5,9,2804
0,6,1,4,10,2804
0,7,8,8,0,2805
0,8,7,7,1,2805
0,9,6,6,2,2805
0,0,8,8,5,2806
0,1,7,7,6,2806
0,2,6,6,7,2806
0,3,5,5,8,2806
0,4,4,4,9,2806
0,5,3,3,10,2806
0,7,9,6,1,2807
0,8,8,5,2,2807
0,9,7,4,3,2807
0,7,2,9,4,2808
0,8,1,8,5,2808
0,0,9,6,6,2808
0,9,0,7,6,2808
0,1,8,5,7,2808
0,2,7,4,8,2808
0,3,6,3,9,2808
0,4,5,2,10,2808
0,8,9,3,3,2809
0,9,8,2,4,2809
0,0,2,9,9,2809
0,1,1,8,10,2809
0,5,5,9,3,2810
0,6,4,8,4,2810
0,7,3,7,5,2810
0,8,2,6,6,2810
0,9,1,5,7,2810
0,1,9,3,8,2810
0,2,8,2,9,2810
0,3,7,1,10,2810
0,9,9,0,5,2811
0,0,3,7,10,2811
0,3,8,9,2,2812
0,4,7,8,3,2812
0,5,6,7,4,2812
0,6,5,6,5,2812
0,7,4,5,6,2812
0,8,3,4,7,2812
0,9,2,3,8,2812
0,2,9,0,10,2812
0,3,9,7,3,2814
0,4,8,6,4,2814
0,5,7,5,5,2814
0,6,6,4,6,2814
0,7,5,3,7,2814
0,8,4,2,8,2814
0,9,3,1,9,2814
0,4,1,9,7,2815
0,5,0,8,8,2815
0,9,4,9,1,2816
0,4,9,4,5,2816
0,5,8,3,6,2816
0,6,7,2,7,2816
0,7,6,1,8,2816
0,8,5,0,9,2816
0,2,4,9,6,2817
0,3,3,8,7,2817
0,4,2,7,8,2817
0,5,1,6,9,2817
0,6,0,5,10,2817
0,7,7,9,0,2818
0,8,6,8,1,2818
0,9,5,7,2,2818
0,5,9,1,7,2818
0,6,8,0,8,2818
0,0,7,9,5,2819
0,1,6,8,6,2819
0,2,5,7,7,2819
0,3,4,6,8,2819
0,4,3,5,9,2819
0,5,2,4,10,2819
0,6,9,8,0,2820
0,7,8,7,1,2820
0,8,7,6,2,2820
0,9,6,5,3,2820
0,8,0,9,5,2821
0,0,8,7,6,2821
0,1,7,6,7,2821
0,2,6,5,8,2821
0,3,5,4,9,2821
0,4,4,3,10,2821
0,7,9,5,2,2822
0,8,8,4,3,2822
0,9,7,3,4,2822
0,1,0,9,10,2822
0,6,3,9,4,2823
0,7,2,8,5,2823
0,8,1,7,6,2823
0,0,9,5,7,2823
0,9,0,6,7,2823
0,1,8,4,8,2823
0,2,7,3,9,2823
0,3,6,2,10,2823
0,8,9,2,4,2824
0,9,8,1,5,2824
0,0,2,8,10,2824
0,4,6,9,3,2825
0,5,5,8,4,2825
0,6,4,7,5,2825
0,7,3,6,6,2825
0,8,2,5,7,2825
0,9,1,4,8,2825
0,1,9,2,9,2825
0,2,8,1,10,2825
0,2,9,9,2,2827
0,3,8,8,3,2827
0,4,7,7,4,2827
0,5,6,6,5,2827
0,6,5,5,6,2827
0,7,4,4,7,2827
0,8,3,3,8,2827
0,9,2,2,9,2827
0,3,9,6,4,2829
0,4,8,5,5,2829
0,5,7,4,6,2829
0,6,6,3,7,2829
0,7,5,2,8,2829
0,8,4,1,9,2829
0,9,3,0,10,2829
0,3,2,9,7,2830
0,4,1,8,8,2830
0,5,0,7,9,2830
0,8,5,9,1,2831
0,9,4,8,2,2831
0,4,9,3,6,2831
0,5,8,2,7,2831
0,6,7,1,8,2831
0,7,6,0,9,2831
0,1,5,9,6,2832
0,2,4,8,7,2832
0,3,3,7,8,2832
0,4,2,6,9,2832
0,5,1,5,10,2832
0,6,8,9,0,2833
0,7,7,8,1,2833
0,8,6,7,2,2833
0,9,5,6,3,2833
0,5,9,0,8,2833
0,0,7,8,6,2834
0,1,6,7,7,2834
0,2,5,6,8,2834
0,3,4,5,9,2834
0,4,3,4,10,2834
0,6,9,7,1,2835
0,7,8,6,2,2835
0,8,7,5,3,2835
0,9,6,4,4,2835
0,7,1,9,5,2836
0,8,0,8,6,2836
0,0,8,6,7,2836
0,1,7,5,8,2836
0,2,6,4,9,2836
0,3,5,3,10,2836
0,7,9,4,3,2837
0,8,8,3,4,2837
0,9,7,2,5,2837
0,0,1,9,10,2837
0,5,4,9,4,2838
0,6,3,8,5,2838
0,7,2,7,6,2838
0,8,1,6,7,2838
0,0,9,4,8,2838
0,9,0,5,8,2838
0,1,8,3,9,2838
0,2,7,2,10,2838
0,8,9,1,5,2839
0,9,8,0,6,2839
0,3,7,9,3,2840
0,4,6,8,4,2840
0,5,5,7,5,2840
0,6,4,6,6,2840
0,7,3,5,7,2840
0,8,2,4,8,2840
0,9,1,3,9,2840
0,1,9,1,10,2840
0,2,9,8,3,2842
0,3,8,7,4,2842
0,4,7,6,5,2842
0,5,6,5,6,2842
0,6,5,4,7,2842
0,7,4,3,8,2842
0,8,3,2,9,2842
0,9,2,1,10,2842
0,4,0,9,8,2843
0,9,3,9,2,2844
0,3,9,5,5,2844
0,4,8,4,6,2844
0,5,7,3,7,2844
0,6,6,2,8,2844
0,7,5,1,9,2844
0,8,4,0,10,2844
0,2,3,9,7,2845
0,3,2,8,8,2845
0,4,1,7,9,2845
0,5,0,6,10,2845
0,7,6,9,1,2846
0,8,5,8,2,2846
0,9,4,7,3,2846
0,4,9,2,7,2846
0,5,8,1,8,2846
0,6,7,0,9,2846
0,0,6,9,6,2847
0,1,5,8,7,2847
0,2,4,7,8,2847
0,3,3,6,9,2847
0,4,2,5,10,2847
0,5,9,9,0,2848
0,6,8,8,1,2848
0,7,7,7,2,2848
0,8,6,6,3,2848
0,9,5,5,4,2848
0,0,7,7,7,2849
0,1,6,6,8,2849
0,2,5,5,9,2849
0,3,4,4,10,2849
0,6,9,6,2,2850
0,7,8,5,3,2850
0,8,7,4,4,2850
0,9,6,3,5,2850
0,0,0,10,10,2850
0,6,2,9,5,2851
0,7,1,8,6,2851
0,8,0,7,7,2851
0,0,8,5,8,2851
0,1,7,4,9,2851
0,2,6,3,10,2851
0,7,9,3,4,2852
0,8,8,2,5,2852
0,9,7,1,6,2852
0,4,5,9,4,2853
0,5,4,8,5,2853
0,6,3,7,6,2853
0,7,2,6,7,2853
0,8,1,5,8,2853
0,0,9,3,9,2853
0,9,0,4,9,2853
0,1,8,2,10,2853
0,8,9,0,6,2854
0,2,8,9,3,2855
0,3,7,8,4,2855
0,4,6,7,5,2855
0,5,5,6,6,2855
0,6,4,5,7,2855
0,7,3,4,8,2855
0,8,2,3,9,2855
0,9,1,2,10,2855
0,2,9,7,4,2857
0,3,8,6,5,2857
0,4,7,5,6,2857
0,5,6,4,7,2857
0,6,5,3,8,2857
0,7,4,2,9,2857
0,8,3,1,10,2857
0,3,1,9,8,2858
0,4,0,8,9,2858
0,8,4,9,2,2859
0,9,3,8,3,2859
0,3,9,4,6,2859
0,4,8,3,7,2859
0,5,7,2,8,2859
0,6,6,1,9,2859
0,7,5,0,10,2859
0,1,4,9,7,2860
0,2,3,8,8,2860
0,3,2,7,9,2860
0,4,1,6,10,2860
0,6,7,9,1,2861
0,7,6,8,2,2861
0,8,5,7,3,2861
0,9,4,6,4,2861
0,4,9,1,8,2861
0,5,8,0,9,2861
0,0,6,8,7,2862
0,1,5,7,8,2862
0,2,4,6,9,2862
0,3,3,5,10,2862
0,5,9,8,1,2863
0,6,8,7,2,2863
0,7,7,6,3,2863
0,8,6,5,4,2863
0,9,5,4,5,2863
0,7,0,9,6,2864
0,0,7,6,8,2864
0,1,6,5,9,2864
0,2,5,4,10,2864
0,6,9,5,3,2865
0,7,8,4,4,2865
0,8,7,3,5,2865
0,9,6,2,6,2865
0,5,3,9,5,2866
0,6,2,8,6,2866
0,7,1,7,7,2866
0,8,0,6,8,2866
0,0,8,4,9,2866
0,1,7,3,10,2866
0,7,9,2,5,2867
0,8,8,1,6,2867
0,9,7,0,7,2867
0,3,6,9,4,2868
0,4,5,8,5,2868
0,5,4,7,6,2868
0,6,3,6,7,2868
0,7,2,5,8,2868
0,8,1,4,9,2868
0,0,9,2,10,2868
0,9,0,3,10,2868
0,1,9,9,3,2870
0,2,8,8,4,2870
0,3,7,7,5,2870
0,4,6,6,6,2870
0,5,5,5,7,2870
0,6,4,4,8,2870
0,7,3,3,9,2870
0,8,2,2,10,2870
0,9,9,6,0,2871
0,9,2,9,3,2872
0,2,9,6,5,2872
0,3,8,5,6,2872
0,4,7,4,7,2872
0,5,6,3,8,2872
0,6,5,2,9,2872
0,7,4,1,10,2872
0,2,2,9,8,2873
0,3,1,8,9,2873
0,4,0,7,10,2873
0,7,5,9,2,2874
0,8,4,8,3,2874
0,9,3,7,4,2874
0,3,9,3,7,2874
0,4,8,2,8,2874
0,5,7,1,9,2874
0,6,6,0,10,2874
0,0,5,9,7,2875
0,1,4,8,8,2875
0,2,3,7,9,2875
0,3,2,6,10,2875
0,5,8,9,1,2876
0,6,7,8,2,2876
0,7,6,7,3,2876
0,8,5,6,4,2876
0,9,4,5,5,2876
0,4,9,0,9,2876
0,0,6,7,8,2877
0,1,5,6,9,2877
0,2,4,5,10,2877
0,5,9,7,2,2878
0,6,8,6,3,2878
0,7,7,5,4,2878
0,8,6,4,5,2878
0,9,5,3,6,2878
0,6,1,9,6,2879
0,7,0,8,7,2879
0,0,7,5,9,2879
0,1,6,4,10,2879
0,6,9,4,4,2880
0,7,8,3,5,2880
0,8,7,2,6,2880
0,9,6,1,7,2880
0,4,4,9,5,2881
0,5,3,8,6,2881
0,6,2,7,7,2881
0,7,1,6,8,2881
0,8,0,5,9,2881
0,0,8,3,10,2881
0,7,9,1,6,2882
0,8,8,0,7,2882
0,2,7,9,4,2883
0,3,6,8,5,2883
0,4,5,7,6,2883
0,5,4,6,7,2883
0,6,3,5,8,2883
0,7,2,4,9,2883
0,8,1,3,10,2883
0,9,8,7,0,2884
0,1,9,8,4,2885
0,2,8,7,5,2885
0,3,7,6,6,2885
0,4,6,5,7,2885
0,5,5,4,8,2885
0,6,4,3,9,2885
0,7,3,2,10,2885
0,9,9,5,1,2886
0,3,0,9,9,2886
0,8,3,9,3,2887
0,9,2,8,4,2887
0,2,9,5,6,2887
0,3,8,4,7,2887
0,4,7,3,8,2887
0,5,6,2,9,2887
0,6,5,1,10,2887
0,1,3,9,8,2888
0,2,2,8,9,2888
0,3,1,7,10,2888
0,6,6,9,2,2889
0,7,5,8,3,2889
0,8,4,7,4,2889
0,9,3,6,5,2889
0,3,9,2,8,2889
0,4,8,1,9,2889
0,5,7,0,10,2889
0,0,5,8,8,2890
0,1,4,7,9,2890
0,2,3,6,10,2890
0,4,9,9,1,2891
0,5,8,8,2,2891
0,6,7,7,3,2891
0,7,6,6,4,2891
0,8,5,5,5,2891
0,9,4,4,6,2891
0,0,6,6,9,2892
0,1,5,5,10,2892
0,5,9,6,3,2893
0,6,8,5,4,2893
0,7,7,4,5,2893
0,8,6,3,6,2893
0,9,5,2,7,2893
0,5,2,9,6,2894
0,6,1,8,7,2894
0,7,0,7,8,2894
0,0,7,4,10,2894
0,6,9,3,5,2895
0,7,8,2,6,2895
0,8,7,1,7,2895
0,9,6,0,8,2895
0,3,5,9,5,2896
0,4,4,8,6,2896
0,5,3,7,7,2896
0,6,2,6,8,2896
0,7,1,5,9,2896
0,8,0,4,10,2896
0,9,7,8,0,2897
0,7,9,0,7,2897
0,1,8,9,4,2898
0,2,7,8,5,2898
0,3,6,7,6,2898
0,4,5,6,7,2898
0,5,4,5,8,2898
0,6,3,4,9,2898
0,7,2,3,10,2898
0,8,9,7,0,2899
0,9,8,6,1,2899
0,9,1,9,4,2900
0,1,9,7,5,2900
0,2,8,6,6,2900
0,3,7,5,7,2900
0,4,6,4,8,2900
0,5,5,3,9,2900
0,6,4,2,10,2900
0,9,9,4,2,2901
0,2,1,9,9,2901
0,3,0,8,10,2901
0,7,4,9,3,2902
0,8,3,8,4,2902
0,9,2,7,5,2902
0,2,9,4,7,2902
0,3,8,3,8,2902
0,4,7,2,9,2902
0,5,6,1,10,2902
0,0,4,9,8,2903
0,1,3,8,9,2903
0,2,2,7,10,2903
0,5,7,9,2,2904
0,6,6,8,3,2904
0,7,5,7,4,2904
0,8,4,6,5,2904
0,9,3,5,6,2904
0,3,9,1,9,2904
0,4,8,0,10,2904
0,0,5,7,9,2905
0,1,4,6,10,2905
0,4,9,8,2,2906
0,5,8,7,3,2906
0,6,7,6,4,2906
0,7,6,5,5,2906
0,8,5,4,6,2906
0,9,4,3,7,2906
0,6,0,9,7,2907
0,0,6,5,10,2907
0,5,9,5,4,2908
0,6,8,4,5,2908
0,7,7,3,6,2908
0,8,6,2,7,2908
0,9,5,1,8,2908
0,4,3,9,6,2909
0,5,2,8,7,2909
0,6,1,7,8,2909
0,7,0,6,9,2909
0,9,6,9,0,2910
0,6,9,2,6,2910
0,7,8,1,7,2910
0,8,7,0,8,2910
0,2,6,9,5,2911
0,3,5,8,6,2911
0,4,4,7,7,2911
0,5,3,6,8,2911
0,6,2,5,9,2911
0,7,1,4,10,2911
0,8,8,8,0,2912
0,9,7,7,1,2912
0,0,9,9,4,2913
0,1,8,8,5,2913
0,2,7,7,6,2913
0,3,6,6,7,2913
0,4,5,5,8,2913
0,5,4,4,9,2913
0,6,3,3,10,2913
0,8,9,6,1,2914
0,9,8,5,2,2914
0,8,2,9,4,2915
0,9,1,8,5,2915
0,1,9,6,6,2915
0,2,8,5,7,2915
0,3,7,4,8,2915
0,4,6,3,9,2915
0,5,5,2,10,2915
0,9,9,3,3,2916
0,1,2,9,9,2916
0,2,1,8,10,2916
0,6,5,9,3,2917
0,7,4,8,4,2917
0,8,3,7,5,2917
0,9,2,6,6,2917
0,2,9,3,8,2917
0,3,8,2,9,2917
0,4,7,1,10,2917
0,0,4,8,9,2918
0,1,3,7,10,2918
0,4,8,9,2,2919
0,5,7,8,3,2919
0,6,6,7,4,2919
0,7,5,6,5,2919
0,8,4,5,6,2919
0,9,3,4,7,2919
0,3,9,0,10,2919
0,0,5,6,10,2920
0,4,9,7,3,2921
0,5,8,6,4,2921
0,6,7,5,5,2921
0,7,6,4,6,2921
0,8,5,3,7,2921
0,9,4,2,8,2921
0,5,1,9,7,2922
0,6,0,8,8,2922
0,5,9,4,5,2923
0,6,8,3,6,2923
0,7,7,2,7,2923
0,8,6,1,8,2923
0,9,5,0,9,2923
0,3,4,9,6,2924
0,4,3,8,7,2924
0,5,2,7,8,2924
0,6,1,6,9,2924
0,7,0,5,10,2924
0,8,7,9,0,2925
0,9,6,8,1,2925
0,6,9,1,7,2925
0,7,8,0,8,2925
0,1,7,9,5,2926
0,2,6,8,6,2926
0,3,5,7,7,2926
0,4,4,6,8,2926
0,5,3,5,9,2926
0,6,2,4,10,2926
0,7,9,8,0,2927
0,8,8,7,1,2927
0,9,7,6,2,2927
0,0,9,8,5,2928
0,9,0,9,5,2928
0,1,8,7,6,2928
0,2,7,6,7,2928
0,3,6,5,8,2928
0,4,5,4,9,2928
0,5,4,3,10,2928
0,8,9,5,2,2929
0,9,8,4,3,2929
0,2,0,9,10,2929
0,7,3,9,4,2930
0,8,2,8,5,2930
0,9,1,7,6,2930
0,1,9,5,7,2930
0,2,8,4,8,2930
0,3,7,3,9,2930
0,4,6,2,10,2930
0,9,9,2,4,2931
0,0,3,9,9,2931
0,1,2,8,10,2931
0,5,6,9,3,2932
0,6,5,8,4,2932
0,7,4,7,5,2932
0,8,3,6,6,2932
0,9,2,5,7,2932
0,2,9,2,9,2932
0,3,8,1,10,2932
0,0,4,7,10,2933
0,3,9,9,2,2934
0,4,8,8,3,2934
0,5,7,7,4,2934
0,6,6,6,5,2934
0,7,5,5,6,2934
0,8,4,4,7,2934
0,9,3,3,8,2934
0,4,9,6,4,2936
0,5,8,5,5,2936
0,6,7,4,6,2936
0,7,6,3,7,2936
0,8,5,2,8,2936
0,9,4,1,9,2936
0,4,2,9,7,2937
0,5,1,8,8,2937
0,6,0,7,9,2937
0,9,5,9,1,2938
0,5,9,3,6,2938
0,6,8,2,7,2938
0,7,7,1,8,2938
0,8,6,0,9,2938
0,2,5,9,6,2939
0,3,4,8,7,2939
0,4,3,7,8,2939
0,5,2,6,9,2939
0,6,1,5,10,2939
0,7,8,9,0,2940
0,8,7,8,1,2940
0,9,6,7,2,2940
0,6,9,0,8,2940
0,0,8,9,5,2941
0,1,7,8,6,2941
0,2,6,7,7,2941
0,3,5,6,8,2941
0,4,4,5,9,2941
0,5,3,4,10,2941
0,7,9,7,1,2942
0,8,8,6,2,2942
0,9,7,5,3,2942
0,8,1,9,5,2943
0,0,9,7,6,2943
0,9,0,8,6,2943
0,1,8,6,7,2943
0,2,7,5,8,2943
0,3,6,4,9,2943
0,4,5,3,10,2943
0,8,9,4,3,2944
0,9,8,3,4,2944
0,1,1,9,10,2944
0,6,4,9,4,2945
0,7,3,8,5,2945
0,8,2,7,6,2945
0,9,1,6,7,2945
0,1,9,4,8,2945
0,2,8,3,9,2945
0,3,7,2,10,2945
0,9,9,1,5,2946
0,0,3,8,10,2946
0,4,7,9,3,2947
0,5,6,8,4,2947
0,6,5,7,5,2947
0,7,4,6,6,2947
0,8,3,5,7,2947
0,9,2,4,8,2947
0,2,9,1,10,2947
0,3,9,8,3,2949
0,4,8,7,4,2949
0,5,7,6,5,2949
0,6,6,5,6,2949
0,7,5,4,7,2949
0,8,4,3,8,2949
0,9,3,2,9,2949
0,5,0,9,8,2950
0,4,9,5,5,2951
0,5,8,4,6,2951
0,6,7,3,7,2951
0,7,6,2,8,2951
0,8,5,1,9,2951
0,9,4,0,10,2951
0,3,3,9,7,2952
0,4,2,8,8,2952
0,5,1,7,9,2952
0,6,0,6,10,2952
0,8,6,9,1,2953
0,9,5,8,2,2953
0,5,9,2,7,2953
0,6,8,1,8,2953
0,7,7,0,9,2953
0,1,6,9,6,2954
0,2,5,8,7,2954
0,3,4,7,8,2954
0,4,3,6,9,2954
0,5,2,5,10,2954
0,6,9,9,0,2955
0,7,8,8,1,2955
0,8,7,7,2,2955
0,9,6,6,3,2955
0,0,8,8,6,2956
0,1,7,7,7,2956
0,2,6,6,8,2956
0,3,5,5,9,2956
0,4,4,4,10,2956
0,7,9,6,2,2957
0,8,8,5,3,2957
0,9,7,4,4,2957
0,1,0,10,10,2957
0,7,2,9,5,2958
0,8,1,8,6,2958
0,0,9,6,7,2958
0,9,0,7,7,2958
0,1,8,5,8,2958
0,2,7,4,9,2958
0,3,6,3,10,2958
0,8,9,3,4,2959
0,9,8,2,5,2959
0,0,2,9,10,2959
0,5,5,9,4,2960
0,6,4,8,5,2960
0,7,3,7,6,2960
0,8,2,6,7,2960
0,9,1,5,8,2960
0,1,9,3,9,2960
0,2,8,2,10,2960
0,9,9,0,6,2961
0,3,8,9,3,2962
0,4,7,8,4,2962
0,5,6,7,5,2962
0,6,5,6,6,2962
0,7,4,5,7,2962
0,8,3,4,8,2962
0,9,2,3,9,2962
0,3,9,7,4,2964
0,4,8,6,5,2964
0,5,7,5,6,2964
0,6,6,4,7,2964
0,7,5,3,8,2964
0,8,4,2,9,2964
0,9,3,1,10,2964
0,4,1,9,8,2965
0,5,0,8,9,2965
0,9,4,9,2,2966
0,4,9,4,6,2966
0,5,8,3,7,2966
0,6,7,2,8,2966
0,7,6,1,9,2966
0,8,5,0,10,2966
0,2,4,9,7,2967
0,3,3,8,8,2967
0,4,2,7,9,2967
0,5,1,6,10,2967
0,7,7,9,1,2968
0,8,6,8,2,2968
0,9,5,7,3,2968
0,5,9,1,8,2968
0,6,8,0,9,2968
0,0,7,9,6,2969
0,1,6,8,7,2969
0,2,5,7,8,2969
0,3,4,6,9,2969
0,4,3,5,10,2969
0,6,9,8,1,2970
0,7,8,7,2,2970
0,8,7,6,3,2970
0,9,6,5,4,2970
0,8,0,9,6,2971
0,0,8,7,7,2971
0,1,7,6,8,2971
0,2,6,5,9,2971
0,3,5,4,10,2971
0,7,9,5,3,2972
0,8,8,4,4,2972
0,9,7,3,5,2972
0,0,1,10,10,2972
0,6,3,9,5,2973
0,7,2,8,6,2973
0,8,1,7,7,2973
0,0,9,5,8,2973
0,9,0,6,8,2973
0,1,8,4,9,2973
0,2,7,3,10,2973
0,8,9,2,5,2974
0,9,8,1,6,2974
0,4,6,9,4,2975
0,5,5,8,5,2975
0,6,4,7,6,2975
0,7,3,6,7,2975
0,8,2,5,8,2975
0,9,1,4,9,2975
0,1,9,2,10,2975
0,2,9,9,3,2977
0,3,8,8,4,2977
0,4,7,7,5,2977
0,5,6,6,6,2977
0,6,5,5,7,2977
0,7,4,4,8,2977
0,8,3,3,9,2977
0,9,2,2,10,2977
0,3,9,6,5,2979
0,4,8,5,6,2979
0,5,7,4,7,2979
0,6,6,3,8,2979
0,7,5,2,9,2979
0,8,4,1,10,2979
0,3,2,9,8,2980
0,4,1,8,9,2980
0,5,0,7,10,2980
0,8,5,9,2,2981
0,9,4,8,3,2981
0,4,9,3,7,2981
0,5,8,2,8,2981
0,6,7,1,9,2981
0,7,6,0,10,2981
0,1,5,9,7,2982
0,2,4,8,8,2982
0,3,3,7,9,2982
0,4,2,6,10,2982
0,6,8,9,1,2983
0,7,7,8,2,2983
0,8,6,7,3,2983
0,9,5,6,4,2983
0,5,9,0,9,2983
0,0,7,8,7,2984
0,1,6,7,8,2984
0,2,5,6,9,2984
0,3,4,5,10,2984
0,6,9,7,2,2985
0,7,8,6,3,2985
0,8,7,5,4,2985
0,9,6,4,5,2985
0,7,1,9,6,2986
0,8,0,8,7,2986
0,0,8,6,8,2986
0,1,7,5,9,2986
0,2,6,4,10,2986
0,7,9,4,4,2987
0,8,8,3,5,2987
0,9,7,2,6,2987
0,5,4,9,5,2988
0,6,3,8,6,2988
0,7,2,7,7,2988
0,8,1,6,8,2988
0,0,9,4,9,2988
0,9,0,5,9,2988
0,1,8,3,10,2988
0,8,9,1,6,2989
0,9,8,0,7,2989
0,3,7,9,4,2990
0,4,6,8,5,2990
0,5,5,7,6,2990
0,6,4,6,7,2990
0,7,3,5,8,2990
0,8,2,4,9,2990
0,9,1,3,10,2990
0,2,9,8,4,2992
0,3,8,7,5,2992
0,4,7,6,6,2992
0,5,6,5,7,2992
0,6,5,4,8,2992
0,7,4,3,9,2992
0,8,3,2,10,2992
0,4,0,9,9,2993
0,9,3,9,3,2994
0,3,9,5,6,2994
0,4,8,4,7,2994
0,5,7,3,8,2994
0,6,6,2,9,2994
0,7,5,1,10,2994
0,2,3,9,8,2995
0,3,2,8,9,2995
0,4,1,7,10,2995
0,7,6,9,2,2996
0,8,5,8,3,2996
0,9,4,7,4,2996
0,4,9,2,8,2996
0,5,8,1,9,2996
0,6,7,0,10,2996
0,0,6,9,7,2997
0,1,5,8,8,2997
0,2,4,7,9,2997
0,3,3,6,10,2997
0,5,9,9,1,2998
0,6,8,8,2,2998
0,7,7,7,3,2998
0,8,6,6,4,2998
0,9,5,5,5,2998
0,0,7,7,8,2999
0,1,6,6,9,2999
0,2,5,5,10,2999
0,6,9,6,3,3000
0,7,8,5,4,3000
0,8,7,4,5,3000
0,9,6,3,6,3000
0,6,2,9,6,3001
0,7,1,8,7,3001
0,8,0,7,8,3001
0,0,8,5,9,3001
0,1,7,4,10,3001
0,7,9,3,5,3002
0,8,8,2,6,3002
0,9,7,1,7,3002
0,4,5,9,5,3003
0,5,4,8,6,3003
0,6,3,7,7,3003
0,7,2,6,8,3003
0,8,1,5,9,3003
0,0,9,3,10,3003
0,9,0,4,10,3003
0,8,9,0,7,3004
0,2,8,9,4,3005
0,3,7,8,5,3005
0,4,6,7,6,3005
0,5,5,6,7,3005
0,6,4,5,8,3005
0,7,3,4,9,3005
0,8,2,3,10,3005
0,9,9,7,0,3006
0,2,9,7,5,3007
0,3,8,6,6,3007
0,4,7,5,7,3007
0,5,6,4,8,3007
0,6,5,3,9,3007
